Date:;2020-07-06 15:51:12
Firmware Version:;0x0120;0x6150;0x0000;0x0000
EPOS Studio Version:;3.6.1.0
Index:;0x30D3;0x30D2;0x0000;0x0000
Subindex:;0x01;0x01;0x00;0x00
Max. samples:;500
Recorded samples:;500
Sampling period:;64.000
Scale:;0;True;5.000;16.000;-36.000;4.000
Scale:;1;True;2.000;11.550;-19.550;-3.550
Trigger:;1;0.000000;"Parameter values";"Channel 1";"Rising above value"
TriggerAttributes:;1;4;0x30D3;0x01;0.000000
;Velocity actual value averaged;Torque actual value averaged
ms;rpm;%
0.000;-11;-6.7
64.000;-2;-8.0
128.000;-1;-9.0
192.000;-6;-8.7
256.000;-6;-9.0
320.000;-9;-7.6
384.000;-10;-6.7
448.000;-6;-6.9
512.000;-6;-6.9
576.000;-5;-7.0
640.000;-7;-6.8
704.000;-4;-7.5
768.000;-4;-7.6
832.000;-6;-7.8
896.000;-7;-7.5
960.000;-8;-6.8
1024.000;-4;-7.8
1088.000;-7;-7.3
1152.000;-4;-7.9
1216.000;-6;-8.0
1280.000;-11;-6.8
1344.000;-5;-7.3
1408.000;-5;-7.5
1472.000;-2;-8.4
1536.000;-6;-8.4
1600.000;-9;-7.4
1664.000;-7;-7.3
1728.000;-4;-7.7
1792.000;-8;-7.1
1856.000;-3;-8.3
1920.000;-3;-8.8
1984.000;-9;-7.8
2048.000;-8;-7.4
2112.000;-6;-7.5
2176.000;-3;-8.3
2240.000;-4;-8.6
2304.000;-6;-8.4
2368.000;-8;-8.1
2432.000;-5;-8.5
2496.000;-6;-8.3
2560.000;-5;-8.3
2624.000;-3;-9.2
2688.000;-4;-9.5
2752.000;-9;-8.6
2816.000;-4;-9.5
2880.000;-3;-10.0
2944.000;-4;-10.4
3008.000;-11;-8.6
3072.000;-7;-8.8
3136.000;-5;-9.3
3200.000;-5;-9.4
3264.000;-5;-9.6
3328.000;-4;-10.0
3392.000;-2;-11.0
3456.000;-6;-10.5
3520.000;-13;-8.3
3584.000;-6;-9.0
3648.000;-4;-9.5
3712.000;-4;-10.0
3776.000;-3;-10.6
3840.000;-4;-10.9
3904.000;-9;-9.8
3968.000;-4;-10.8
4032.000;-5;-10.6
4096.000;-7;-9.9
4160.000;-1;-11.1
4224.000;-1;-12.1
4288.000;-2;-13.1
4352.000;-14;-10.5
4416.000;-12;-10.1
4480.000;-6;-10.3
4544.000;-6;-10.2
4608.000;-3;-10.7
4672.000;-4;-11.0
4736.000;-9;-10.0
4800.000;-6;-10.4
4864.000;-1;-11.7
4928.000;-2;-12.2
4992.000;-7;-11.9
5056.000;-5;-12.1
5120.000;-8;-11.1
5184.000;-8;-11.4
5248.000;-2;-12.8
5312.000;-10;-11.0
5376.000;-10;-10.2
5440.000;-2;-11.6
5504.000;-1;-12.8
5568.000;-6;-12.1
5632.000;-3;-13.4
5696.000;-3;-13.9
5760.000;-14;-11.3
5824.000;-10;-10.9
5888.000;-2;-12.1
5952.000;-1;-13.2
6016.000;-1;-14.1
6080.000;-4;-14.7
6144.000;-25;-8.6
6208.000;-4;-11.3
6272.000;-1;-12.6
6336.000;-1;-13.8
6400.000;-1;-14.8
6464.000;-5;-14.7
6528.000;-19;-11.1
6592.000;-14;-10.0
6656.000;-6;-10.5
6720.000;-5;-11.0
6784.000;-12;-9.1
6848.000;-4;-10.2
6912.000;-2;-11.1
6976.000;-7;-10.4
7040.000;-9;-9.9
