Date:;2020-07-06 17:01:36,,
Firmware Version:;0x0120;0x6150;0x0000;0x0000,,
EPOS Studio Version:;3.6.1.0,,
Index:;0x30D3;0x30D2;0x0000;0x0000,,
Subindex:;0x01;0x01;0x00;0x00,,
Max. samples:;500,,
Recorded samples:;500,,
Sampling period:;256.000,,
Scale:;0;True;2.000;5.000;-13.000;3.000,,
Scale:;1;True;2.000;10.050;-18.050;-2.050,,
"Trigger:;1;0.000000;""Parameter values"";""Channel 1"";""Rising above value""",,
TriggerAttributes:;1;4;0x30D3;0x01;0.000000,,
;Velocity actual value averaged;Torque actual value averaged,,
ms;rpm;%,,
0.000;0;-1200,,was -8.9
50432.000;-4;-7.6,,
50688.000;-1;-5.9,,
50944.000;0;-6.5,,
51200.000;0;-7.0,,
51456.000;-1;-7.3,,
51712.000;-1;-7.8,,
51968.000;-1;-8.1,,
52224.000;-2;-8.0,,
52480.000;0;-7.8,,
52736.000;-1;-8.0,,
52992.000;-3;-7.6,,
53248.000;-1;-7.8,,
53504.000;-1;-8.2,,
53760.000;-2;-7.2,,
54016.000;-1;-6.9,,
54272.000;-2;-6.7,,
54528.000;0;-7.1,,
54784.000;0;-7.6,,
55040.000;0;-8.1,,
55296.000;0;-9.0,,
55552.000;0;-9.8,,
55808.000;0;-10.5,,
56064.000;-8;-8.9,,
56320.000;-1;-7.9,,
56576.000;-2;-7.3,,
56832.000;-1;-7.0,,
57088.000;0;-7.6,,
57344.000;-1;-7.9,,
57600.000;0;-8.6,,
57856.000;-1;-8.9,,
58112.000;-1;-9.3,,
58368.000;-1;-9.7,,
58624.000;-1;-8.7,,
58880.000;-1;-7.6,,
59136.000;0;-8.1,,
59392.000;0;-8.7,,
59648.000;-1;-9.0,,
59904.000;0;-9.6,,
60160.000;0;-10.2,,
60416.000;-4;-9.5,,
60672.000;-2;-8.0,,
60928.000;-1;-8.5,,
61184.000;-1;-8.4,,
61440.000;-1;-8.4,,
61696.000;-1;-8.9,,
61952.000;-1;-9.3,,
62208.000;-1;-9.7,,
62464.000;-2;-9.0,,
62720.000;-1;-9.1,,
62976.000;-1;-9.2,,
63232.000;-1;-9.1,,
63488.000;0;-9.7,,
63744.000;0;-10.1,,
64000.000;-2;-10.0,,
64256.000;0;-7.4,,
64512.000;0;-8.1,,
64768.000;0;-8.8,,
65024.000;0;-9.6,,
65280.000;0;-10.2,,
65536.000;-1;-10.7,,
65792.000;-2;-10.1,,
66048.000;0;-10.5,,
66304.000;-4;-8.4,,
66560.000;-1;-8.3,,
66816.000;-1;-8.7,,
67072.000;0;-8.1,,
67328.000;0;-8.8,,
67584.000;0;-9.6,,
67840.000;0;-10.3,,
68096.000;0;-11.0,,
68352.000;0;-11.6,,
68608.000;0;-12.4,,
68864.000;-1;-12.8,,
69120.000;-9;-10.3,,
69376.000;-3;-9.3,,
69632.000;-2;-8.7,,
69888.000;0;-9.2,,
70144.000;-1;-9.7,,
70400.000;-1;-9.0,,
70656.000;-1;-8.9,,
70912.000;-3;-7.4,,
71168.000;0;-8.1,,
71424.000;0;-8.8,,
71680.000;0;-9.6,,
71936.000;0;-10.3,,
72192.000;0;-11.1,,
72448.000;0;-11.8,,
72704.000;0;-12.5,,
72960.000;-1;-13.1,,
73216.000;0;-10.0,,
73472.000;0;-10.7,,
73728.000;-1;-11.2,,
73984.000;-2;-8.6,,
74240.000;0;-8.2,,
74496.000;0;-8.9,,
74752.000;0;-9.3,,
75008.000;-2;-9.3,,
75264.000;0;-8.7,,
75520.000;0;-9.4,,
75776.000;0;-10.1,,
76032.000;-1;-10.3,,
76288.000;0;-8.4,,
76544.000;0;-9.1,,
76800.000;0;-9.7,,
77056.000;-5;-8.6,,
77312.000;0;-8.2,,
77568.000;0;-8.9,,
77824.000;0;-9.7,,
78080.000;0;-10.5,,
78336.000;-1;-11.0,,
78592.000;0;-11.8,,
78848.000;-2;-11.7,,
79104.000;0;-6.8,,
79360.000;0;-7.6,,
79616.000;0;-8.4,,
79872.000;0;-9.2,,
80128.000;0;-10.0,,
80384.000;0;-10.8,,
80640.000;0;-11.4,,
80896.000;-2;-11.1,,
81152.000;-1;-7.2,,
81408.000;0;-8.0,,
81664.000;0;-8.7,,
81920.000;-2;-7.7,,
82176.000;-2;-6.8,,
82432.000;-1;-7.0,,
