Date:;2020-07-06 17:42:23,,
Firmware Version:;0x0120;0x6150;0x0000;0x0000,,
EPOS Studio Version:;3.6.1.0,,
Index:;0x30D3;0x30D2;0x0000;0x0000,,
Subindex:;0x01;0x01;0x00;0x00,,
Max. samples:;500,,
Recorded samples:;500,,
Sampling period:;256.000,,
Scale:;0;True;2.000;-5.000;-3.000;13.000,,
Scale:;1;True;2.000;-24.200;16.200;32.200,,
"Trigger:;1;0.000000;""Parameter values"";""Channel 1"";""Rising above value""",,
TriggerAttributes:;1;4;0x30D3;0x01;0.000000,,
;Velocity actual value averaged;Torque actual value averaged,,
ms;rpm;%,,
0.000;1;-400,,was 22.1
56576.000;1;19.7,,
56832.000;1;19.6,,
57088.000;1;19.9,,
57344.000;1;19.8,,
57600.000;1;19.9,,
57856.000;1;20.0,,
58112.000;1;19.8,,
58368.000;0;20.1,,
58624.000;1;20.5,,
58880.000;1;20.8,,
59136.000;2;20.4,,
59392.000;1;20.3,,
59648.000;1;20.4,,
59904.000;2;20.1,,
60160.000;0;20.1,,
60416.000;0;20.9,,
60672.000;0;21.6,,
60928.000;0;22.3,,
61184.000;0;23.1,,
61440.000;0;23.9,,
61696.000;0;24.7,,
61952.000;0;25.5,,
62208.000;0;26.2,,
62464.000;0;27.0,,
62720.000;0;27.7,,
62976.000;0;28.3,,
63232.000;4;23.1,,
63488.000;2;22.4,,
63744.000;1;22.2,,
64000.000;1;22.2,,
64256.000;1;22.2,,
64512.000;1;22.0,,
64768.000;1;22.3,,
65024.000;1;22.5,,
65280.000;0;23.1,,
65536.000;1;23.4,,
65792.000;2;22.8,,
66048.000;1;22.5,,
66304.000;1;22.9,,
66560.000;1;22.9,,
66816.000;1;22.8,,
67072.000;1;23.3,,
67328.000;0;23.8,,
67584.000;2;23.6,,
67840.000;1;22.8,,
68096.000;1;22.9,,
68352.000;1;23.1,,
68608.000;2;22.3,,
68864.000;0;22.7,,
69120.000;0;23.1,,
69376.000;1;23.6,,
69632.000;1;23.7,,
69888.000;1;23.6,,
70144.000;3;22.8,,
70400.000;1;22.4,,
70656.000;0;22.9,,
70912.000;0;23.3,,
71168.000;1;23.4,,
71424.000;2;22.3,,
71680.000;1;22.1,,
71936.000;1;22.1,,
72192.000;1;22.3,,
72448.000;1;22.6,,
72704.000;1;22.8,,
72960.000;2;22.1,,
73216.000;1;22.1,,
73472.000;0;22.2,,
73728.000;1;22.4,,
73984.000;1;22.9,,
74240.000;0;23.3,,
74496.000;0;23.8,,
74752.000;0;24.3,,
75008.000;1;24.9,,
75264.000;5;23.1,,
75520.000;2;22.4,,
75776.000;1;22.3,,
76032.000;1;22.4,,
76288.000;1;22.4,,
76544.000;1;22.6,,
76800.000;1;22.6,,
77056.000;1;22.9,,
77312.000;1;23.1,,
77568.000;0;23.6,,
77824.000;0;24.3,,
78080.000;0;24.8,,
78336.000;0;25.4,,
78592.000;1;25.9,,
78848.000;1;26.2,,
79104.000;2;25.2,,
79360.000;1;25.2,,
79616.000;1;24.5,,
79872.000;1;24.6,,
80128.000;1;24.8,,
80384.000;1;25.1,,
80640.000;1;25.0,,
80896.000;1;25.0,,
81152.000;1;25.2,,
81408.000;2;24.9,,
81664.000;1;25.2,,
81920.000;1;25.5,,
82176.000;2;25.0,,
82432.000;1;24.9,,
82688.000;0;25.2,,
82944.000;0;25.7,,
83200.000;0;26.3,,
83456.000;1;26.6,,
83712.000;1;27.0,,
83968.000;1;26.8,,
84224.000;0;27.3,,
84480.000;1;27.6,,
84736.000;2;25.7,,
84992.000;1;26.1,,
85248.000;1;26.2,,
85504.000;2;25.9,,
85760.000;1;26.0,,
86016.000;1;26.1,,
86272.000;1;26.4,,
86528.000;1;26.7,,
86784.000;2;26.2,,
87040.000;1;26.6,,
87296.000;1;27.0,,
87552.000;1;27.1,,
87808.000;2;26.1,,
88064.000;1;26.1,,
88320.000;1;25.7,,
88576.000;1;25.6,,
88832.000;1;25.2,,
89088.000;1;25.1,,
89344.000;1;24.6,,
89600.000;1;24.8,,
89856.000;1;25.1,,
90112.000;1;25.4,,
90368.000;1;25.1,,
90624.000;2;24.1,,
90880.000;1;23.8,,
91136.000;1;24.1,,
91392.000;1;24.5,,
91648.000;1;24.4,,
91904.000;1;24.8,,
92160.000;1;25.1,,
92416.000;2;24.5,,
92672.000;1;24.0,,
92928.000;1;24.0,,
93184.000;1;24.3,,
93440.000;2;23.9,,
93696.000;1;24.0,,
93952.000;1;24.3,,
94208.000;1;23.3,,
94464.000;1;23.1,,
94720.000;3;22.2,,
94976.000;1;21.9,,
95232.000;0;22.4,,
95488.000;0;23.0,,
95744.000;0;23.4,,
96000.000;2;22.9,,
96256.000;2;22.1,,
96512.000;1;20.7,,
96768.000;1;21.0,,
97024.000;2;20.3,,
97280.000;0;20.7,,
97536.000;0;21.1,,
97792.000;0;21.8,,
98048.000;0;22.1,,
98304.000;1;22.5,,
98560.000;2;21.3,,
98816.000;1;21.0,,
99072.000;1;20.8,,
99328.000;1;20.4,,
99584.000;1;21.0,,
99840.000;1;21.0,,
100096.000;1;20.4,,
100352.000;0;20.9,,
100608.000;0;21.4,,
100864.000;3;20.3,,
101120.000;1;20.4,,
101376.000;0;21.0,,
101632.000;1;21.3,,
101888.000;1;21.7,,
102144.000;1;21.1,,
102400.000;0;21.5,,
102656.000;1;21.9,,
102912.000;1;22.1,,
103168.000;1;21.3,,
103424.000;1;21.5,,
103680.000;0;22.2,,
103936.000;0;22.9,,
104192.000;0;23.6,,
104448.000;0;24.3,,
104704.000;0;25.0,,
104960.000;0;25.6,,
105216.000;2;23.8,,
105472.000;1;23.1,,
105728.000;2;22.1,,
105984.000;0;22.7,,
106240.000;1;23.0,,
106496.000;0;23.8,,
106752.000;1;23.9,,
107008.000;1;24.3,,
107264.000;2;22.6,,
107520.000;1;22.4,,
107776.000;1;22.5,,
108032.000;1;21.4,,
108288.000;0;22.0,,
108544.000;0;22.4,,
108800.000;0;23.2,,
109056.000;1;23.2,,
109312.000;1;22.8,,
109568.000;1;21.4,,
109824.000;1;22.0,,
110080.000;0;22.4,,
110336.000;1;22.7,,
110592.000;1;23.1,,
110848.000;3;22.0,,
111104.000;2;21.0,,
111360.000;2;20.3,,
111616.000;1;20.4,,
111872.000;1;20.7,,
112128.000;1;21.0,,
112384.000;1;21.0,,
112640.000;1;21.1,,
112896.000;2;20.9,,
113152.000;1;20.7,,
113408.000;1;20.7,,
113664.000;1;20.7,,
113920.000;2;20.8,,
114176.000;1;20.4,,
114432.000;1;20.3,,
114688.000;2;20.5,,
114944.000;0;20.5,,
115200.000;1;20.7,,
115456.000;0;21.2,,
115712.000;0;21.7,,
115968.000;0;22.4,,
116224.000;0;23.1,,
116480.000;0;23.9,,
116736.000;1;24.5,,
116992.000;1;24.9,,
117248.000;1;23.0,,
117504.000;1;23.0,,
117760.000;1;22.4,,
118016.000;1;22.4,,
118272.000;1;22.6,,
118528.000;2;22.1,,
118784.000;1;21.7,,
119040.000;0;22.1,,
119296.000;1;22.5,,
119552.000;2;22.1,,
119808.000;1;22.1,,
120064.000;1;22.3,,
120320.000;1;22.5,,
120576.000;1;22.7,,
120832.000;0;23.2,,
121088.000;0;23.6,,
121344.000;3;23.1,,
121600.000;1;22.4,,
121856.000;1;22.5,,
122112.000;1;22.7,,
122368.000;1;22.8,,
122624.000;1;22.8,,
122880.000;1;23.2,,
123136.000;1;23.5,,
123392.000;1;23.9,,
123648.000;1;24.4,,
123904.000;0;25.0,,
124160.000;0;25.5,,
124416.000;1;25.9,,
124672.000;3;25.7,,
124928.000;1;25.0,,
125184.000;1;24.6,,
125440.000;1;24.6,,
125696.000;1;24.4,,
125952.000;1;24.6,,
126208.000;1;24.3,,
126464.000;1;24.5,,
126720.000;1;24.8,,
126976.000;2;24.4,,
127232.000;2;24.1,,
127488.000;2;23.4,,
127744.000;1;23.2,,
