Date:;2020-07-06 15:36:48
Firmware Version:;0x0120;0x6150;0x0000;0x0000
EPOS Studio Version:;3.6.1.0
Index:;0x30D3;0x30D2;0x0000;0x0000
Subindex:;0x01;0x01;0x00;0x00
Max. samples:;500
Recorded samples:;500
Sampling period:;12.800
Scale:;0;True;5.000;69.000;-89.000;-49.000
Scale:;1;True;1.000;11.150;-15.150;-7.150
Trigger:;1;0.000000;"Parameter values";"Channel 1";"Rising above value"
TriggerAttributes:;1;4;0x30D3;0x01;0.000000
;Velocity actual value averaged;Torque actual value averaged
ms;rpm;%
0.000;-74;-9.0
12.800;-73;-9.7
25.600;-72;-9.8
38.400;-73;-9.1
51.200;-69;-10.7
64.000;-62;-12.1
76.800;-65;-10.7
89.600;-65;-11.2
102.400;-67;-10.8
115.200;-71;-9.6
128.000;-69;-10.7
140.800;-65;-12.3
153.600;-69;-10.2
166.400;-68;-11.6
179.200;-66;-12.0
192.000;-68;-11.3
204.800;-70;-11.1
217.600;-69;-12.2
230.400;-68;-11.8
243.200;-66;-12.6
256.000;-70;-10.8
268.800;-71;-11.7
281.600;-69;-12.1
294.400;-68;-12.0
307.200;-71;-11.4
320.000;-70;-12.0
332.800;-70;-11.5
345.600;-70;-12.2
358.400;-67;-12.4
371.200;-69;-11.8
384.000;-71;-11.2
396.800;-72;-11.4
409.600;-70;-12.2
422.400;-74;-10.7
435.200;-73;-11.0
448.000;-72;-11.3
460.800;-73;-10.9
473.600;-79;-8.8
486.400;-74;-11.0
499.200;-73;-10.2
512.000;-76;-9.5
524.800;-72;-10.4
537.600;-70;-10.4
550.400;-72;-9.4
563.200;-71;-10.2
576.000;-69;-10.6
588.800;-69;-10.3
601.600;-70;-10.0
614.400;-69;-10.7
627.200;-74;-8.4
640.000;-72;-9.7
652.800;-75;-8.5
665.600;-74;-9.3
678.400;-74;-8.6
691.200;-70;-9.8
704.000;-69;-9.7
716.800;-70;-9.0
729.600;-70;-9.7
742.400;-71;-9.0
755.200;-72;-8.9
768.000;-70;-9.4
780.800;-71;-9.0
793.600;-69;-9.7
806.400;-70;-9.3
819.200;-71;-8.7
832.000;-70;-9.5
844.800;-69;-9.4
857.600;-71;-8.9
870.400;-68;-10.1
883.200;-67;-10.0
896.000;-68;-9.8
908.800;-69;-9.5
921.600;-67;-10.4
934.400;-68;-9.8
947.200;-67;-10.6
960.000;-65;-11.0
972.800;-66;-11.0
985.600;-65;-11.3
998.400;-65;-11.5
1011.200;-66;-11.5
1024.000;-67;-11.7
1036.800;-66;-11.7
1049.600;-71;-10.2
1062.400;-67;-12.0
1075.200;-68;-11.4
1088.000;-68;-11.8
1100.800;-67;-12.1
1113.600;-69;-11.7
1126.400;-72;-10.6
1139.200;-71;-11.6
1152.000;-71;-11.4
1164.800;-69;-11.7
1177.600;-66;-12.4
1190.400;-70;-11.0
1203.200;-67;-12.6
1216.000;-64;-13.1
1228.800;-69;-11.4
1241.600;-66;-12.9
1254.400;-69;-11.8
1267.200;-74;-11.1
1280.000;-73;-11.5
1292.800;-71;-11.7
1305.600;-73;-11.0
1318.400;-80;-8.8
1331.200;-80;-9.5
1344.000;-78;-9.6
1356.800;-77;-8.9
1369.600;-76;-9.7
1382.400;-75;-9.0
1395.200;-75;-8.5
1408.000;-72;-9.4
1420.800;-72;-9.0
1433.600;-71;-9.0
1446.400;-72;-8.6
1459.200;-73;-8.3
1472.000;-69;-10.0
1484.800;-68;-9.6
1497.600;-72;-7.9
1510.400;-71;-9.2
1523.200;-67;-10.0
1536.000;-68;-9.6
1548.800;-68;-9.7
1561.600;-69;-9.2
1574.400;-71;-9.1
1587.200;-71;-9.0
1600.000;-73;-8.4
1612.800;-73;-8.6
1625.600;-73;-8.7
1638.400;-73;-8.6
1651.200;-74;-8.0
1664.000;-73;-8.4
1676.800;-72;-8.2
1689.600;-71;-8.7
1702.400;-69;-8.7
1715.200;-68;-9.1
1728.000;-68;-9.0
1740.800;-67;-9.3
1753.600;-66;-9.6
1766.400;-63;-10.8
1779.200;-65;-9.9
1792.000;-65;-10.6
1804.800;-65;-10.7
1817.600;-65;-11.0
1830.400;-66;-10.8
1843.200;-66;-11.1
1856.000;-65;-12.1
1868.800;-62;-12.9
1881.600;-58;-14.1
1894.400;-58;-14.2
1907.200;-67;-11.1
1920.000;-72;-11.5
1932.800;-74;-10.9
1945.600;-73;-12.2
1958.400;-70;-12.3
1971.200;-71;-11.6
1984.000;-73;-11.3
1996.800;-68;-12.9
2009.600;-73;-11.3
2022.400;-69;-12.4
2035.200;-70;-11.6
2048.000;-70;-11.7
2060.800;-71;-11.2
2073.600;-72;-11.0
2086.400;-63;-14.7
2099.200;-66;-12.0
2112.000;-74;-10.5
2124.800;-70;-12.1
2137.600;-74;-10.7
2150.400;-76;-10.5
2163.200;-74;-11.2
2176.000;-77;-9.5
2188.800;-80;-9.1
2201.600;-79;-9.0
2214.400;-79;-8.2
2227.200;-76;-9.0
2240.000;-77;-8.2
2252.800;-67;-11.9
2265.600;-64;-10.4
2278.400;-73;-7.9
2291.200;-72;-9.5
2304.000;-71;-9.3
2316.800;-72;-8.8
2329.600;-74;-8.1
2342.400;-70;-9.7
2355.200;-72;-8.6
2368.000;-72;-9.0
2380.800;-72;-8.3
2393.600;-73;-8.2
2406.400;-68;-9.7
2419.200;-69;-8.9
2432.000;-70;-8.4
2444.800;-72;-8.3
2457.600;-71;-8.6
2470.400;-69;-9.0
2483.200;-71;-8.3
2496.000;-71;-8.6
2508.800;-71;-8.4
2521.600;-72;-8.2
2534.400;-71;-8.9
2547.200;-67;-9.5
2560.000;-69;-8.6
2572.800;-67;-9.5
2585.600;-66;-9.7
2598.400;-66;-9.9
2611.200;-66;-10.2
2624.000;-65;-10.4
2636.800;-68;-9.5
2649.600;-68;-10.3
2662.400;-66;-10.9
2675.200;-67;-10.2
2688.000;-70;-10.0
2700.800;-67;-11.2
2713.600;-68;-10.2
2726.400;-69;-10.5
2739.200;-65;-12.0
2752.000;-65;-11.6
2764.800;-66;-11.7
2777.600;-65;-12.2
2790.400;-67;-11.4
2803.200;-65;-12.3
2816.000;-68;-11.7
2828.800;-67;-12.7
2841.600;-66;-12.5
2854.400;-68;-12.4
2867.200;-70;-11.5
2880.000;-70;-12.2
2892.800;-70;-12.3
2905.600;-72;-10.9
2918.400;-72;-11.9
2931.200;-74;-10.7
2944.000;-75;-11.1
2956.800;-75;-10.4
2969.600;-71;-12.1
2982.400;-70;-10.7
2995.200;-76;-9.0
3008.000;-67;-12.7
3020.800;-70;-10.3
3033.600;-77;-8.8
3046.400;-78;-9.3
3059.200;-75;-9.7
3072.000;-77;-8.4
3084.800;-78;-8.0
3097.600;-75;-8.9
3110.400;-74;-8.6
3123.200;-71;-9.2
3136.000;-67;-10.2
3148.800;-61;-11.4
3161.600;-67;-9.3
3174.400;-67;-10.7
3187.200;-66;-10.7
3200.000;-67;-10.4
3212.800;-68;-10.4
3225.600;-70;-10.0
3238.400;-73;-9.3
3251.200;-75;-9.0
3264.000;-73;-9.7
3276.800;-72;-9.4
3289.600;-72;-9.0
3302.400;-75;-8.2
3315.200;-75;-8.6
3328.000;-73;-9.0
3340.800;-73;-8.3
3353.600;-74;-7.8
3366.400;-71;-9.0
3379.200;-70;-9.0
3392.000;-70;-8.6
3404.800;-69;-9.3
3417.600;-67;-9.5
3430.400;-68;-9.1
3443.200;-68;-9.5
3456.000;-68;-9.5
3468.800;-67;-9.9
3481.600;-66;-10.1
3494.400;-65;-10.4
3507.200;-66;-10.3
3520.000;-67;-10.3
3532.800;-67;-10.7
3545.600;-69;-9.9
3558.400;-67;-11.1
3571.200;-65;-11.3
3584.000;-67;-10.7
3596.800;-63;-12.7
3609.600;-64;-11.6
3622.400;-70;-10.2
3635.200;-69;-11.8
3648.000;-69;-11.2
3660.800;-66;-12.4
3673.600;-68;-11.6
3686.400;-70;-11.7
3699.200;-68;-11.9
3712.000;-72;-10.3
3724.800;-62;-14.5
3737.600;-68;-11.2
3750.400;-71;-11.5
3763.200;-74;-10.5
3776.000;-69;-12.9
3788.800;-71;-11.6
3801.600;-73;-11.0
3814.400;-74;-10.8
3827.200;-75;-10.1
3840.000;-73;-11.0
3852.800;-76;-9.1
3865.600;-68;-12.2
3878.400;-74;-9.2
3891.200;-75;-10.5
3904.000;-74;-9.4
3916.800;-77;-8.6
3929.600;-76;-8.9
3942.400;-77;-8.4
3955.200;-74;-8.9
3968.000;-73;-8.8
3980.800;-72;-8.6
3993.600;-71;-9.0
4006.400;-71;-8.9
4019.200;-70;-9.0
4032.000;-66;-10.0
4044.800;-70;-8.8
4057.600;-73;-8.1
4070.400;-70;-9.7
4083.200;-70;-8.9
4096.000;-72;-8.1
4108.800;-72;-8.7
4121.600;-71;-8.6
4134.400;-72;-8.2
4147.200;-71;-8.6
4160.000;-70;-8.6
