Date:;2020-07-06 15:35:28
Firmware Version:;0x0120;0x6150;0x0000;0x0000
EPOS Studio Version:;3.6.1.0
Index:;0x30D3;0x30D2;0x0000;0x0000
Subindex:;0x01;0x01;0x00;0x00
Max. samples:;500
Recorded samples:;500
Sampling period:;12.800
Scale:;0;True;5.000;91.000;-111.000;-71.000
Scale:;1;True;1.000;11.050;-15.050;-7.050
Trigger:;1;0.000000;"Parameter values";"Channel 1";"Rising above value"
TriggerAttributes:;1;4;0x30D3;0x01;0.000000
;Velocity actual value averaged;Torque actual value averaged
ms;rpm;%
0.000;-92;-9.6
12.800;-92;-9.8
25.600;-94;-9.5
38.400;-93;-9.6
51.200;-92;-9.7
64.000;-93;-9.0
76.800;-91;-9.7
89.600;-91;-9.6
102.400;-89;-9.9
115.200;-90;-9.3
128.000;-90;-9.7
140.800;-91;-9.3
153.600;-91;-9.7
166.400;-89;-10.3
179.200;-88;-10.0
192.000;-88;-10.1
204.800;-88;-10.1
217.600;-86;-11.0
230.400;-85;-11.4
243.200;-81;-12.4
256.000;-86;-10.7
268.800;-84;-12.5
281.600;-84;-11.9
294.400;-88;-11.3
307.200;-89;-11.5
320.000;-87;-12.5
332.800;-87;-12.2
345.600;-89;-12.1
358.400;-85;-13.2
371.200;-88;-11.9
384.000;-85;-13.6
396.800;-85;-13.2
409.600;-86;-13.5
422.400;-90;-12.2
435.200;-88;-13.7
448.000;-88;-12.8
460.800;-91;-12.4
473.600;-91;-12.6
486.400;-93;-11.5
499.200;-94;-11.9
512.000;-97;-10.3
524.800;-94;-11.5
537.600;-100;-9.2
550.400;-97;-10.3
563.200;-98;-9.3
576.000;-97;-9.8
588.800;-94;-10.1
601.600;-92;-10.3
614.400;-92;-10.1
627.200;-91;-10.3
640.000;-91;-9.7
652.800;-89;-10.7
665.600;-90;-10.0
678.400;-93;-9.3
691.200;-93;-9.5
704.000;-93;-9.2
716.800;-94;-8.9
729.600;-94;-8.8
742.400;-92;-9.3
755.200;-92;-9.0
768.000;-92;-8.8
780.800;-92;-9.2
793.600;-90;-9.2
806.400;-90;-9.3
819.200;-88;-9.8
832.000;-87;-9.9
844.800;-87;-9.9
857.600;-88;-10.0
870.400;-88;-9.9
883.200;-88;-10.2
896.000;-86;-10.5
908.800;-85;-11.1
921.600;-88;-10.0
934.400;-82;-12.7
947.200;-86;-10.7
960.000;-86;-11.7
972.800;-85;-11.8
985.600;-87;-11.7
998.400;-80;-14.4
1011.200;-85;-12.2
1024.000;-89;-11.8
1036.800;-91;-11.4
1049.600;-92;-11.6
1062.400;-93;-11.0
1075.200;-89;-12.6
1088.000;-90;-11.4
1100.800;-85;-13.8
1113.600;-84;-13.2
1126.400;-88;-12.2
1139.200;-92;-11.8
1152.000;-90;-12.2
1164.800;-93;-11.3
1177.600;-94;-11.4
1190.400;-92;-11.9
1203.200;-98;-9.9
1216.000;-95;-10.8
1228.800;-96;-10.1
1241.600;-96;-9.9
1254.400;-95;-10.2
1267.200;-94;-9.9
1280.000;-88;-12.1
1292.800;-84;-12.1
1305.600;-91;-9.8
1318.400;-94;-9.8
1331.200;-94;-9.6
1344.000;-93;-10.0
1356.800;-95;-9.3
1369.600;-93;-9.8
1382.400;-93;-9.4
1395.200;-93;-9.1
1408.000;-91;-9.6
1420.800;-92;-9.4
1433.600;-90;-9.6
1446.400;-90;-9.5
1459.200;-89;-9.9
1472.000;-88;-10.0
1484.800;-85;-10.9
1497.600;-88;-10.0
1510.400;-89;-10.0
1523.200;-87;-10.8
1536.000;-88;-10.3
1548.800;-87;-11.1
1561.600;-86;-11.4
1574.400;-87;-11.1
1587.200;-86;-11.5
1600.000;-84;-12.2
1612.800;-84;-12.0
1625.600;-85;-12.4
1638.400;-87;-11.9
1651.200;-88;-12.1
1664.000;-89;-11.8
1676.800;-83;-14.3
1689.600;-87;-11.6
1702.400;-88;-12.5
1715.200;-90;-12.1
1728.000;-91;-12.2
1740.800;-88;-13.5
1753.600;-90;-11.7
1766.400;-89;-12.8
1779.200;-92;-11.3
1792.000;-88;-13.6
1804.800;-90;-12.3
1817.600;-92;-11.8
1830.400;-92;-12.3
1843.200;-93;-11.8
