Date:;2020-07-06 15:40:39
Firmware Version:;0x0120;0x6150;0x0000;0x0000
EPOS Studio Version:;3.6.1.0
Index:;0x30D3;0x30D2;0x0000;0x0000
Subindex:;0x01;0x01;0x00;0x00
Max. samples:;500
Recorded samples:;500
Sampling period:;38.400
Scale:;0;True;5.000;27.500;-47.500;-7.500
Scale:;1;True;2.000;11.050;-19.050;-3.050
Trigger:;1;0.000000;"Parameter values";"Channel 1";"Rising above value"
TriggerAttributes:;1;4;0x30D3;0x01;0.000000
;Velocity actual value averaged;Torque actual value averaged
ms;rpm;%
0.000;-35;-8.3
38.400;-27;-13.0
76.800;-38;-10.0
115.200;-27;-12.1
153.600;-32;-11.3
192.000;-30;-12.0
230.400;-29;-11.4
268.800;-33;-10.7
307.200;-29;-11.0
345.600;-31;-10.7
384.000;-28;-11.3
422.400;-36;-9.8
460.800;-33;-9.3
499.200;-29;-10.3
537.600;-35;-8.3
576.000;-33;-8.3
614.400;-29;-9.1
652.800;-29;-8.6
691.200;-33;-8.0
729.600;-30;-8.4
768.000;-24;-10.1
806.400;-32;-9.0
844.800;-18;-11.7
883.200;-38;-8.3
921.600;-34;-8.1
960.000;-31;-8.3
998.400;-28;-8.9
1036.800;-29;-8.3
1075.200;-30;-8.3
1113.600;-29;-8.6
1152.000;-25;-9.8
1190.400;-29;-9.3
1228.800;-32;-8.4
1267.200;-34;-7.6
1305.600;-26;-9.5
1344.000;-32;-8.1
1382.400;-32;-8.0
1420.800;-31;-8.5
1459.200;-27;-9.0
1497.600;-28;-9.3
1536.000;-28;-9.6
1574.400;-25;-10.7
1612.800;-26;-10.3
1651.200;-31;-10.1
1689.600;-31;-10.4
1728.000;-34;-9.5
1766.400;-16;-13.6
1804.800;-33;-10.6
1843.200;-36;-10.2
1881.600;-32;-10.7
1920.000;-29;-10.8
1958.400;-29;-11.7
1996.800;-35;-9.7
2035.200;-22;-13.1
2073.600;-30;-10.6
2112.000;-28;-12.7
2150.400;-32;-12.9
2188.800;-14;-16.2
2227.200;-40;-11.2
2265.600;-35;-11.6
2304.000;-34;-10.5
2342.400;-29;-11.7
2380.800;-29;-11.7
2419.200;-33;-10.1
2457.600;-38;-7.7
2496.000;-22;-11.9
2534.400;-39;-7.6
2572.800;-24;-11.4
2611.200;-36;-8.6
2649.600;-33;-8.6
2688.000;-33;-8.2
2726.400;-30;-8.7
2764.800;-19;-12.0
2803.200;-32;-9.0
2841.600;-33;-8.8
2880.000;-27;-10.3
2918.400;-23;-10.1
2956.800;-38;-8.5
2995.200;-32;-8.9
3033.600;-32;-8.5
3072.000;-34;-7.6
3110.400;-29;-8.3
3148.800;-31;-8.1
3187.200;-28;-8.5
3225.600;-30;-8.1
3264.000;-32;-7.2
3302.400;-27;-8.8
3340.800;-27;-8.6
3379.200;-32;-7.9
3417.600;-29;-8.3
3456.000;-30;-8.8
3494.400;-30;-8.2
3532.800;-21;-11.1
3571.200;-28;-10.0
3609.600;-33;-9.2
3648.000;-23;-11.4
3686.400;-27;-10.7
3724.800;-33;-9.3
3763.200;-27;-10.8
3801.600;-27;-11.3
3840.000;-27;-11.8
3878.400;-28;-11.5
3916.800;-37;-9.3
3955.200;-29;-10.8
3993.600;-25;-11.7
4032.000;-32;-10.9
4070.400;-34;-10.1
4108.800;-24;-12.4
4147.200;-29;-12.0
4185.600;-30;-10.9
4224.000;-34;-10.8
4262.400;-29;-11.4
4300.800;-30;-11.5
4339.200;-26;-11.9
4377.600;-29;-12.2
4416.000;-33;-10.5
4454.400;-37;-9.6
4492.800;-36;-8.9
4531.200;-36;-8.1
4569.600;-26;-9.8
4608.000;-33;-8.1
4646.400;-25;-10.4
4684.800;-31;-9.0
4723.200;-30;-9.4
4761.600;-31;-8.6
4800.000;-30;-9.2
4838.400;-32;-8.4
4876.800;-32;-8.5
4915.200;-30;-8.6
4953.600;-33;-7.8
4992.000;-30;-8.3
5030.400;-28;-8.4
5068.800;-30;-8.4
5107.200;-30;-8.2
5145.600;-32;-7.7
5184.000;-28;-8.7
5222.400;-28;-9.0
5260.800;-28;-9.0
5299.200;-29;-8.6
5337.600;-31;-8.3
5376.000;-29;-8.7
5414.400;-32;-8.2
5452.800;-23;-10.0
5491.200;-29;-9.4
