Date:;2020-07-06 15:32:13
Firmware Version:;0x0120;0x6150;0x0000;0x0000
EPOS Studio Version:;3.6.1.0
Index:;0x30D3;0x30D2;0x0000;0x0000
Subindex:;0x01;0x01;0x00;0x00
Max. samples:;500
Recorded samples:;500
Sampling period:;6.400
Scale:;0;True;5.000;159.500;-179.500;-139.500
Scale:;1;True;1.000;12.050;-16.050;-8.050
Trigger:;1;0.000000;"Parameter values";"Channel 1";"Rising above value"
TriggerAttributes:;1;4;0x30D3;0x01;0.000000
;Velocity actual value averaged;Torque actual value averaged
ms;rpm;%
0.000;-153;-12.3
6.400;-152;-12.5
12.800;-150;-13.1
19.200;-148;-13.8
25.600;-149;-13.1
32.000;-151;-12.8
38.400;-148;-14.5
44.800;-148;-14.4
51.200;-151;-13.2
57.600;-153;-13.3
64.000;-153;-13.7
70.400;-154;-13.4
76.800;-154;-13.8
83.200;-154;-14.4
89.600;-153;-14.6
96.000;-154;-14.4
102.400;-154;-14.5
108.800;-155;-14.4
115.200;-155;-14.3
121.600;-157;-13.9
128.000;-156;-14.7
134.400;-159;-13.4
140.800;-160;-13.8
147.200;-162;-12.9
153.600;-162;-13.7
160.000;-161;-13.9
166.400;-162;-13.0
172.800;-162;-13.6
179.200;-162;-13.5
185.600;-161;-13.4
192.000;-165;-12.1
198.400;-168;-11.4
204.800;-169;-11.3
211.200;-171;-10.8
217.600;-172;-10.4
224.000;-171;-11.0
230.400;-171;-10.6
236.800;-170;-10.4
243.200;-169;-10.6
249.600;-167;-10.9
256.000;-167;-10.6
262.400;-167;-10.0
268.800;-167;-10.1
275.200;-168;-9.7
281.600;-169;-8.9
288.000;-167;-10.0
294.400;-166;-9.9
300.800;-164;-10.3
307.200;-163;-10.0
313.600;-164;-9.2
320.000;-164;-9.6
326.400;-163;-10.0
332.800;-162;-10.1
339.200;-163;-9.7
345.600;-161;-10.1
352.000;-160;-10.2
358.400;-159;-10.4
364.800;-157;-10.9
371.200;-156;-11.1
377.600;-156;-11.1
384.000;-154;-11.6
390.400;-153;-12.2
396.800;-152;-12.1
403.200;-151;-12.4
409.600;-151;-12.9
416.000;-151;-12.8
422.400;-151;-12.9
428.800;-150;-13.4
435.200;-149;-14.3
441.600;-150;-13.8
448.000;-150;-13.8
454.400;-151;-13.9
460.800;-152;-13.7
467.200;-152;-14.1
473.600;-154;-13.7
480.000;-155;-13.6
486.400;-155;-13.8
492.800;-156;-14.0
499.200;-159;-12.8
505.600;-160;-13.0
512.000;-159;-13.5
518.400;-160;-13.2
524.800;-160;-13.4
531.200;-160;-13.4
537.600;-160;-13.5
544.000;-160;-13.5
550.400;-161;-13.1
556.800;-162;-12.9
563.200;-164;-12.3
569.600;-166;-11.5
576.000;-168;-11.4
582.400;-169;-10.8
588.800;-171;-10.3
595.200;-172;-10.0
601.600;-169;-11.3
608.000;-170;-10.2
614.400;-168;-10.9
620.800;-167;-10.6
627.200;-167;-10.3
633.600;-167;-10.2
640.000;-167;-10.0
646.400;-166;-10.1
652.800;-167;-9.5
659.200;-167;-9.7
665.600;-165;-10.1
672.000;-165;-9.8
678.400;-163;-10.5
684.800;-160;-11.0
691.200;-160;-10.5
697.600;-161;-10.2
704.000;-160;-10.4
710.400;-159;-10.5
716.800;-158;-11.1
723.200;-158;-10.4
729.600;-158;-11.0
736.000;-156;-11.4
742.400;-156;-11.5
748.800;-155;-12.0
755.200;-155;-11.6
761.600;-154;-12.0
768.000;-153;-12.4
774.400;-154;-11.9
780.800;-154;-12.2
787.200;-153;-13.0
793.600;-153;-12.8
800.000;-152;-13.4
806.400;-150;-14.1
812.800;-151;-13.8
819.200;-150;-14.3
825.600;-150;-14.2
832.000;-151;-14.0
838.400;-152;-14.1
844.800;-155;-13.1
851.200;-155;-14.1
857.600;-156;-13.8
864.000;-155;-14.3
870.400;-155;-14.6
876.800;-156;-14.5
883.200;-158;-13.8
889.600;-157;-14.2
896.000;-159;-13.8
902.400;-159;-13.8
908.800;-161;-13.5
915.200;-161;-13.3
921.600;-165;-12.0
928.000;-164;-13.1
934.400;-164;-13.1
940.800;-166;-11.8
947.200;-167;-11.9
953.600;-167;-12.1
960.000;-170;-10.6
966.400;-170;-10.7
972.800;-169;-11.2
979.200;-169;-11.1
985.600;-168;-11.0
992.000;-167;-11.1
998.400;-166;-11.2
1004.800;-166;-10.8
1011.200;-166;-10.7
1017.600;-164;-10.9
1024.000;-163;-11.1
1030.400;-163;-10.7
1036.800;-163;-10.9
1043.200;-164;-10.2
1049.600;-162;-11.0
1056.000;-161;-11.3
1062.400;-160;-11.2
1068.800;-161;-10.7
1075.200;-162;-10.7
1081.600;-163;-10.0
1088.000;-163;-10.3
1094.400;-163;-10.3
1100.800;-161;-11.2
1107.200;-160;-11.1
1113.600;-159;-11.1
1120.000;-160;-10.7
1126.400;-159;-11.0
1132.800;-160;-10.7
1139.200;-158;-11.7
1145.600;-156;-11.9
1152.000;-154;-12.5
1158.400;-153;-13.0
1164.800;-153;-12.2
1171.200;-153;-12.8
1177.600;-152;-13.4
