Date:;2020-07-06 15:46:52
Firmware Version:;0x0120;0x6150;0x0000;0x0000
EPOS Studio Version:;3.6.1.0
Index:;0x30D3;0x30D2;0x0000;0x0000
Subindex:;0x01;0x01;0x00;0x00
Max. samples:;500
Recorded samples:;500
Sampling period:;49.200
Scale:;0;True;5.000;-14.500;-5.500;34.500
Scale:;1;True;2.000;-20.600;12.600;28.600
Trigger:;1;0.000000;"Parameter values";"Channel 1";"Rising above value"
TriggerAttributes:;1;4;0x30D3;0x01;0.000000
;Velocity actual value averaged;Torque actual value averaged
ms;rpm;%
0.000;12;18.0
49.200;16;17.1
98.400;11;18.0
147.600;11;18.4
196.800;15;17.5
246.000;12;18.4
295.200;11;18.6
344.400;14;18.1
393.600;15;17.8
442.800;10;18.9
492.000;9;19.3
541.200;13;18.8
590.400;13;19.0
639.600;11;19.5
688.800;12;19.2
738.000;15;19.0
787.200;16;18.2
836.400;14;18.4
885.600;12;18.8
934.800;9;19.9
984.000;7;20.7
1033.200;17;19.0
1082.400;13;19.6
1131.600;13;19.3
1180.800;13;19.4
1230.000;12;19.6
1279.200;11;20.2
1328.400;9;21.0
1377.600;15;20.1
1426.800;14;20.0
1476.000;14;19.9
1525.200;11;20.7
1574.400;12;20.7
1623.600;13;20.7
1672.800;15;20.3
1722.000;13;20.7
1771.200;13;20.7
1820.400;16;19.7
1869.600;13;20.2
1918.800;8;21.2
1968.000;10;21.4
2017.200;6;23.3
2066.400;2;25.2
2115.600;27;20.2
2164.800;21;19.9
2214.000;17;19.4
2263.200;17;18.5
2312.400;19;17.8
2361.600;13;18.5
2410.800;12;18.6
2460.000;16;17.7
2509.200;10;18.6
2558.400;9;19.3
2607.600;14;18.6
2656.800;13;18.7
2706.000;15;17.8
2755.200;10;18.8
2804.400;3;20.8
2853.600;16;18.7
2902.800;19;18.2
2952.000;10;19.6
3001.200;3;21.6
3050.400;7;21.5
3099.600;24;18.7
3148.800;21;17.2
3198.000;17;17.0
3247.200;16;16.7
3296.400;14;16.5
3345.600;13;16.8
3394.800;11;17.2
3444.000;13;17.0
3493.200;8;18.3
3542.400;8;19.0
3591.600;16;17.6
3640.800;17;17.2
3690.000;20;16.2
3739.200;8;18.3
3788.400;9;18.6
3837.600;9;19.4
3886.800;17;17.5
3936.000;12;18.9
3985.200;6;20.5
4034.400;2;22.6
4083.600;27;17.7
4132.800;17;18.3
4182.000;15;17.9
4231.200;16;17.1
4280.400;14;17.4
4329.600;13;17.2
4378.800;15;16.6
4428.000;11;17.5
4477.200;14;16.9
4526.400;9;18.4
4575.600;16;17.1
4624.800;15;17.0
4674.000;13;17.0
4723.200;13;16.9
4772.400;11;17.7
4821.600;10;18.0
4870.800;9;18.8
4920.000;13;18.2
4969.200;13;18.7
5018.400;9;19.4
5067.600;13;18.9
