Date:;2020-07-06 15:34:03
Firmware Version:;0x0120;0x6150;0x0000;0x0000
EPOS Studio Version:;3.6.1.0
Index:;0x30D3;0x30D2;0x0000;0x0000
Subindex:;0x01;0x01;0x00;0x00
Max. samples:;500
Recorded samples:;500
Sampling period:;6.400
Scale:;0;True;5.000;-121.500;101.500;141.500
Scale:;1;True;1.000;-19.800;15.800;23.800
Trigger:;1;0.000000;"Parameter values";"Channel 1";"Rising above value"
TriggerAttributes:;1;4;0x30D3;0x01;0.000000
;Velocity actual value averaged;Torque actual value averaged
ms;rpm;%
0.000;112;21.1
6.400;112;20.5
12.800;113;20.6
19.200;113;20.5
25.600;114;20.6
32.000;114;20.9
38.400;115;20.5
44.800;115;21.1
51.200;116;20.1
57.600;115;21.7
64.000;114;21.3
70.400;114;21.6
76.800;115;21.3
83.200;117;21.0
89.600;117;21.2
96.000;118;20.7
102.400;120;20.4
108.800;120;20.8
115.200;120;21.0
121.600;121;20.4
128.000;122;20.3
134.400;123;19.8
140.800;122;20.4
147.200;120;21.0
153.600;121;20.4
160.000;127;18.1
166.400;128;18.8
172.800;128;18.8
179.200;128;18.6
185.600;129;18.0
192.000;130;18.0
198.400;131;17.4
204.800;129;18.1
211.200;128;18.1
217.600;126;18.1
224.000;126;17.7
230.400;126;17.7
236.800;127;17.1
243.200;123;18.6
249.600;122;18.3
256.000;123;17.5
262.400;124;17.5
268.800;126;16.4
275.200;128;16.4
281.600;128;16.2
288.000;125;17.5
294.400;123;17.6
300.800;121;17.7
307.200;119;18.3
313.600;117;18.9
320.000;117;17.9
326.400;118;17.8
332.800;120;17.6
339.200;119;18.1
345.600;118;18.3
352.000;119;17.9
358.400;118;18.0
364.800;116;19.1
371.200;115;19.2
377.600;116;18.8
384.000;117;18.2
390.400;118;18.2
396.800;119;18.3
403.200;117;19.0
409.600;119;18.0
416.000;120;18.1
422.400;119;18.8
428.800;118;19.3
435.200;118;18.7
441.600;119;18.3
448.000;118;19.3
454.400;117;19.1
460.800;118;18.7
467.200;118;18.8
473.600;118;18.9
480.000;117;19.7
486.400;116;19.6
492.800;115;20.2
499.200;113;20.7
505.600;111;21.0
512.000;109;22.1
518.400;108;22.4
524.800;108;22.2
531.200;108;22.0
537.600;109;22.1
544.000;111;21.7
550.400;114;21.0
556.800;114;22.2
563.200;113;22.4
569.600;115;21.8
576.000;116;21.4
582.400;117;21.6
588.800;118;21.6
595.200;121;20.7
601.600;122;20.5
608.000;123;20.6
614.400;123;20.7
620.800;122;21.5
627.200;124;20.2
633.600;123;20.7
640.000;121;21.2
646.400;120;21.5
652.800;120;21.0
659.200;126;18.7
665.600;127;18.9
672.000;130;18.3
678.400;130;18.5
684.800;131;18.2
691.200;133;17.2
697.600;134;17.1
704.000;135;16.6
710.400;133;17.0
716.800;134;16.6
723.200;132;16.6
729.600;129;17.4
736.000;129;16.7
742.400;127;17.1
748.800;126;16.9
755.200;124;17.5
761.600;123;17.2
