Date:;2020-07-06 15:37:10
Firmware Version:;0x0120;0x6150;0x0000;0x0000
EPOS Studio Version:;3.6.1.0
Index:;0x30D3;0x30D2;0x0000;0x0000
Subindex:;0x01;0x01;0x00;0x00
Max. samples:;500
Recorded samples:;500
Sampling period:;12.800
Scale:;0;True;5.000;-65.000;45.000;85.000
Scale:;1;True;2.000;-20.400;12.400;28.400
Trigger:;1;0.000000;"Parameter values";"Channel 1";"Rising above value"
TriggerAttributes:;1;4;0x30D3;0x01;0.000000
;Velocity actual value averaged;Torque actual value averaged
ms;rpm;%
0.000;68;20.0
12.800;68;20.2
25.600;68;20.4
38.400;59;23.0
51.200;66;20.2
64.000;70;20.2
76.800;74;19.3
89.600;74;19.7
102.400;69;21.6
115.200;66;21.0
128.000;69;20.7
140.800;73;19.5
153.600;74;19.5
166.400;73;20.1
179.200;72;20.2
192.000;80;17.1
204.800;79;17.5
217.600;75;19.2
230.400;77;17.5
243.200;79;16.6
256.000;78;16.9
268.800;77;17.2
281.600;72;17.8
294.400;72;17.0
307.200;74;17.6
320.000;69;17.6
332.800;73;16.4
345.600;70;17.9
358.400;69;17.5
371.200;71;16.9
384.000;75;15.6
396.800;69;19.0
409.600;69;17.1
422.400;69;17.4
435.200;71;16.8
448.000;72;16.7
460.800;63;19.6
473.600;63;18.6
486.400;68;17.7
499.200;67;18.5
512.000;71;17.2
524.800;70;18.2
537.600;68;18.8
550.400;71;17.3
563.200;71;17.8
576.000;71;17.7
588.800;72;17.4
601.600;69;18.4
614.400;69;17.9
627.200;68;18.5
640.000;65;19.2
652.800;63;19.6
665.600;64;19.9
678.400;64;20.0
691.200;66;19.3
704.000;69;18.9
716.800;73;18.3
729.600;75;17.7
742.400;76;17.5
755.200;74;18.2
768.000;70;19.3
780.800;70;18.3
793.600;68;19.4
806.400;66;19.3
819.200;65;19.8
832.000;62;20.8
844.800;65;19.6
857.600;66;20.2
870.400;66;20.3
883.200;65;20.7
896.000;65;21.2
908.800;66;20.5
921.600;67;20.7
934.400;69;20.2
947.200;67;21.5
960.000;68;21.0
972.800;70;20.3
985.600;70;20.7
998.400;71;20.4
1011.200;68;21.3
1024.000;70;20.4
1036.800;72;20.1
1049.600;76;18.5
1062.400;81;17.8
1075.200;79;18.4
1088.000;78;17.9
1100.800;79;17.3
1113.600;81;16.8
1126.400;78;16.9
1139.200;77;16.3
1152.000;79;15.7
1164.800;74;16.8
1177.600;73;16.6
1190.400;75;15.5
1203.200;70;17.8
1216.000;66;17.7
1228.800;67;17.5
1241.600;69;17.0
1254.400;72;16.6
1267.200;58;21.7
1280.000;48;22.7
1292.800;64;17.7
1305.600;73;17.1
1318.400;76;16.6
1331.200;78;16.4
1344.000;75;17.7
1356.800;73;17.4
1369.600;73;17.0
1382.400;72;17.2
1395.200;73;16.6
1408.000;71;17.5
1420.800;67;18.3
1433.600;68;17.5
1446.400;63;19.7
1459.200;60;20.0
1472.000;64;18.3
1484.800;67;19.1
1497.600;68;18.9
1510.400;67;19.5
1523.200;66;19.7
1536.000;68;19.2
1548.800;72;18.3
1561.600;74;18.0
1574.400;75;17.8
1587.200;73;18.3
1600.000;71;18.7
1612.800;68;18.9
1625.600;68;19.0
1638.400;68;19.0
1651.200;65;20.1
1664.000;61;21.0
1676.800;60;21.0
1689.600;66;19.8
1702.400;69;19.9
1715.200;65;21.4
1728.000;65;21.1
1740.800;68;20.1
1753.600;68;21.0
1766.400;68;20.7
1779.200;67;21.4
1792.000;67;21.1
1804.800;68;21.3
1817.600;72;20.2
1830.400;72;20.4
1843.200;73;20.0
1856.000;73;20.4
1868.800;70;20.4
1881.600;73;20.0
1894.400;74;19.5
1907.200;82;16.7
1920.000;81;17.6
1932.800;80;17.7
1945.600;78;17.3
1958.400;74;18.0
1971.200;76;16.6
1984.000;75;17.1
1996.800;78;16.1
2009.600;77;16.6
2022.400;75;16.0
2035.200;68;19.0
2048.000;65;17.8
2060.800;68;17.4
2073.600;69;17.6
2086.400;70;17.2
2099.200;72;16.3
2112.000;70;17.9
2124.800;72;16.8
2137.600;71;17.0
2150.400;71;16.6
2163.200;72;16.3
2176.000;72;16.7
2188.800;71;16.8
2201.600;65;18.4
2214.400;64;18.2
2227.200;66;17.7
2240.000;67;17.6
2252.800;69;17.5
2265.600;66;18.6
2278.400;68;17.6
2291.200;70;17.1
2304.000;66;19.3
2316.800;68;18.3
2329.600;68;18.5
2342.400;69;18.2
2355.200;70;18.0
2368.000;67;19.3
2380.800;70;17.9
2393.600;69;18.8
2406.400;70;18.1
2419.200;71;18.3
2432.000;71;17.7
2444.800;72;17.9
2457.600;70;18.3
2470.400;68;18.9
2483.200;63;20.6
2496.000;56;21.7
2508.800;62;20.0
2521.600;65;20.0
2534.400;67;19.9
2547.200;69;19.7
2560.000;67;20.9
2572.800;69;19.7
2585.600;70;20.3
2598.400;69;20.3
2611.200;69;20.3
2624.000;71;19.5
2636.800;68;20.9
2649.600;71;19.6
2662.400;67;21.4
2675.200;63;21.9
2688.000;70;19.6
2700.800;72;19.7
2713.600;73;19.8
2726.400;73;19.7
2739.200;71;20.1
2752.000;71;20.0
