Date:;2020-07-08 21:11:37
Firmware Version:;0x0120;0x6150;0x0000;0x0000
EPOS Studio Version:;3.6.1.0
Index:;0x30D3;0x30D2;0x0000;0x0000
Subindex:;0x01;0x01;0x00;0x00
Max. samples:;500
Recorded samples:;500
Sampling period:;6.400
Scale:;0;True;2.000;-159.000;151.000;167.000
Scale:;1;True;5.000;-37.050;17.050;57.050
Trigger:;1;0.000000;"Parameter values";"Channel 1";"Rising above value"
TriggerAttributes:;1;4;0x30D3;0x01;0.000000
;Velocity actual value averaged;Torque actual value averaged
ms;rpm;%
0.000;161;30.7
6.400;160;33.1
12.800;158;36.8
19.200;156;38.6
25.600;157;39.0
32.000;156;39.7
38.400;156;40.6
44.800;156;41.0
51.200;157;41.0
57.600;158;40.0
64.000;159;38.2
70.400;159;38.6
76.800;159;40.0
83.200;161;37.6
89.600;162;34.1
96.000;163;33.5
102.400;164;31.8
108.800;163;31.8
115.200;163;32.8
121.600;162;33.3
128.000;161;34.2
134.400;160;35.5
140.800;160;36.6
147.200;159;37.0
153.600;159;35.6
160.000;160;34.1
166.400;160;34.8
172.800;159;38.1
179.200;157;40.3
185.600;158;40.3
192.000;158;39.0
198.400;158;38.9
204.800;159;38.7
211.200;158;39.4
217.600;158;40.7
224.000;158;42.1
230.400;158;42.5
236.800;158;42.3
243.200;160;39.7
249.600;162;36.6
256.000;163;34.1
262.400;164;32.8
268.800;164;31.9
275.200;164;33.2
281.600;162;34.9
288.000;162;35.9
294.400;162;34.5
300.800;162;32.9
307.200;163;31.0
313.600;163;29.9
320.000;163;29.0
326.400;162;30.5
332.800;161;31.7
339.200;162;29.8
345.600;162;27.9
352.000;162;27.0
358.400;162;27.2
364.800;161;28.0
371.200;160;30.8
377.600;159;32.1
384.000;158;33.2
390.400;156;35.3
396.800;156;36.6
403.200;155;38.7
409.600;155;39.9
416.000;155;39.9
422.400;155;41.0
428.800;155;42.3
435.200;156;43.9
441.600;156;41.9
448.000;158;41.3
454.400;158;41.7
460.800;159;39.8
467.200;160;38.6
473.600;160;40.5
480.000;160;41.2
486.400;160;41.0
492.800;161;39.8
499.200;162;37.9
505.600;163;35.5
512.000;163;33.9
518.400;163;35.0
524.800;162;37.1
531.200;161;37.1
537.600;161;37.3
544.000;161;36.6
550.400;163;33.6
556.800;163;32.4
563.200;162;33.8
569.600;161;36.8
576.000;160;37.3
582.400;159;38.4
588.800;157;42.0
595.200;156;45.3
601.600;156;45.0
608.000;157;44.0
614.400;159;40.6
620.800;160;37.9
627.200;162;36.9
633.600;163;35.1
640.000;163;34.3
646.400;163;34.2
652.800;163;34.2
659.200;162;35.3
665.600;161;36.8
672.000;160;37.7
678.400;159;38.4
684.800;159;38.9
691.200;159;39.0
697.600;159;38.3
704.000;161;37.1
710.400;161;34.1
716.800;161;34.6
723.200;161;34.8
729.600;161;35.0
736.000;161;36.4
742.400;160;35.9
748.800;160;35.9
755.200;159;37.9
761.600;158;39.6
768.000;158;38.9
774.400;158;40.4
780.800;158;42.1
787.200;157;42.8
793.600;157;42.6
800.000;158;43.1
806.400;158;42.0
812.800;159;41.2
819.200;159;40.7
825.600;160;42.2
832.000;160;40.8
838.400;161;39.8
844.800;161;39.0
851.200;162;38.4
857.600;162;37.4
864.000;163;36.5
870.400;163;36.1
876.800;162;37.1
883.200;161;38.9
889.600;160;40.0
896.000;160;40.2
902.400;160;39.3
908.800;161;37.8
915.200;160;39.5
921.600;158;43.1
928.000;157;45.0
934.400;157;45.1
940.800;158;44.6
947.200;159;43.4
953.600;159;42.8
960.000;159;43.1
966.400;160;43.7
972.800;160;42.4
979.200;162;40.3
985.600;162;39.0
992.000;162;38.1
998.400;163;37.3
1004.800;163;35.9
1011.200;163;36.2
1017.600;163;36.5
1024.000;162;36.4
1030.400;162;36.0
1036.800;162;36.2
1043.200;162;35.5
1049.600;161;35.1
1056.000;162;34.3
1062.400;162;33.7
1068.800;162;34.1
1075.200;160;35.0
1081.600;161;33.8
1088.000;162;31.2
1094.400;162;30.4
1100.800;162;31.2
1107.200;161;31.8
1113.600;161;30.9
1120.000;160;32.4
1126.400;158;37.5
1132.800;156;40.6
1139.200;155;40.6
1145.600;155;40.2
1152.000;156;41.4
1158.400;155;43.4
1164.800;155;45.5
1171.200;154;46.5
1177.600;155;46.8
1184.000;156;47.1
1190.400;156;46.4
1196.800;158;45.7
1203.200;159;44.5
1209.600;160;43.5
1216.000;161;41.8
1222.400;162;40.3
1228.800;163;38.5
1235.200;163;37.9
1241.600;163;38.9
1248.000;163;38.9
1254.400;162;38.7
1260.800;161;39.7
1267.200;161;40.0
1273.600;161;40.3
1280.000;161;39.0
1286.400;161;39.3
1292.800;161;39.3
1299.200;161;39.8
1305.600;161;39.3
1312.000;160;39.0
1318.400;161;38.6
1324.800;161;37.7
1331.200;161;37.8
1337.600;161;38.3
1344.000;161;37.9
1350.400;159;41.1
1356.800;158;45.0
1363.200;159;42.6
1369.600;161;37.9
1376.000;162;35.0
1382.400;162;34.5
1388.800;162;35.5
1395.200;162;36.6
1401.600;161;36.3
1408.000;161;35.8
1414.400;161;35.4
1420.800;162;34.1
1427.200;162;33.1
1433.600;162;33.8
1440.000;162;33.2
1446.400;161;33.1
1452.800;161;33.7
1459.200;161;32.6
1465.600;162;30.5
1472.000;161;30.3
1478.400;161;31.4
1484.800;160;32.5
1491.200;160;32.7
1497.600;159;34.2
1504.000;158;35.6
1510.400;157;38.2
1516.800;156;39.5
1523.200;156;40.7
1529.600;156;41.2
1536.000;156;42.3
1542.400;155;44.2
1548.800;155;44.5
1555.200;157;43.7
1561.600;157;42.4
1568.000;159;41.0
1574.400;160;40.7
1580.800;160;40.2
1587.200;161;39.4
1593.600;161;38.6
1600.000;163;36.6
1606.400;163;35.9
1612.800;162;36.4
1619.200;161;37.8
1625.600;161;38.5
1632.000;160;38.6
1638.400;160;39.2
1644.800;160;39.1
1651.200;160;40.0
1657.600;160;39.7
1664.000;160;38.6
1670.400;159;40.7
1676.800;158;44.6
1683.200;158;44.1
1689.600;158;42.9
1696.000;159;42.2
1702.400;159;42.7
1708.800;158;44.3
1715.200;159;44.3
1721.600;159;42.4
1728.000;160;41.2
1734.400;161;41.1
1740.800;161;41.9
1747.200;161;41.4
1753.600;162;39.7
1760.000;162;38.2
1766.400;163;37.6
1772.800;163;37.2
1779.200;163;35.7
1785.600;164;33.9
1792.000;164;33.5
1798.400;163;33.0
1804.800;163;32.2
1811.200;163;32.3
1817.600;163;31.1
1824.000;162;31.5
1830.400;161;34.3
1836.800;160;35.8
1843.200;159;35.3
1849.600;160;33.1
1856.000;160;31.4
1862.400;161;30.8
1868.800;161;30.1
1875.200;160;31.4
1881.600;160;33.5
1888.000;159;33.4
1894.400;159;33.7
1900.800;157;37.3
1907.200;155;41.1
1913.600;155;41.5
1920.000;155;42.4
1926.400;155;42.4
1932.800;156;41.7
1939.200;157;40.4
1945.600;158;40.2
1952.000;159;40.0
1958.400;160;38.2
1964.800;160;38.6
1971.200;160;38.7
1977.600;161;37.8
1984.000;161;36.5
1990.400;162;36.6
