Date:;2020-07-08 21:28:28
Firmware Version:;0x0120;0x6150;0x0000;0x0000
EPOS Studio Version:;3.6.1.0
Index:;0x30D3;0x30D2;0x0000;0x0000
Subindex:;0x01;0x01;0x00;0x00
Max. samples:;500
Recorded samples:;500
Sampling period:;128.000
Scale:;0;True;2.000;6.000;-14.000;2.000
Scale:;1;True;5.000;27.550;-47.550;-7.550
Trigger:;1;0.000000;"Parameter values";"Channel 1";"Rising above value"
TriggerAttributes:;1;4;0x30D3;0x01;0.000000
;Velocity actual value averaged;Torque actual value averaged
ms;rpm;%
0.000;-1;-32.8
128.000;-7;-22.8
256.000;-1;-25.6
384.000;-1;-31.4
512.000;-4;-35.5
640.000;-1;-26.4
768.000;-1;-31.2
896.000;-10;-19.0
1024.000;-1;-26.4
1152.000;-1;-31.4
1280.000;-2;-37.7
1408.000;-1;-25.5
1536.000;-1;-29.9
1664.000;-1;-35.9
1792.000;-1;-24.2
1920.000;-1;-27.9
2048.000;-1;-34.8
2176.000;-2;-23.0
2304.000;-1;-26.1
2432.000;-1;-33.1
2560.000;-4;-22.2
2688.000;-1;-25.8
2816.000;-1;-31.4
2944.000;-5;-22.3
3072.000;-1;-25.0
3200.000;-1;-30.9
3328.000;-9;-20.4
3456.000;-1;-22.3
3584.000;-1;-28.1
3712.000;-2;-34.0
3840.000;-1;-22.0
3968.000;-1;-27.0
4096.000;-1;-34.5
4224.000;-2;-21.4
4352.000;-1;-25.9
4480.000;-1;-32.3
4608.000;-2;-21.7
4736.000;-1;-25.2
4864.000;-1;-32.1
4992.000;-6;-20.5
5120.000;-1;-23.9
5248.000;-1;-28.7
5376.000;-6;-19.7
5504.000;-1;-23.3
5632.000;-1;-30.0
5760.000;-10;-17.6
5888.000;-1;-23.2
6016.000;-1;-28.8
6144.000;-4;-30.0
6272.000;-1;-22.0
6400.000;-1;-27.7
6528.000;-2;-33.2
6656.000;-1;-22.4
6784.000;-1;-26.4
6912.000;-1;-33.1
7040.000;-1;-21.2
7168.000;-1;-24.9
7296.000;-1;-32.4
7424.000;-2;-21.5
7552.000;-1;-24.8
7680.000;-1;-30.6
7808.000;-3;-20.8
7936.000;-1;-23.8
8064.000;-1;-30.4
8192.000;-4;-20.3
8320.000;-1;-24.0
8448.000;-1;-30.9
8576.000;-6;-20.8
8704.000;0;-25.4
8832.000;-1;-29.4
8960.000;-5;-20.3
9088.000;-1;-23.2
9216.000;-1;-28.4
9344.000;-8;-18.9
9472.000;-1;-22.4
9600.000;-1;-28.4
9728.000;-6;-25.7
9856.000;-1;-21.9
9984.000;-1;-26.4
10112.000;-2;-32.3
10240.000;-1;-21.1
10368.000;-1;-25.0
10496.000;-1;-32.1
10624.000;-2;-20.5
10752.000;-1;-24.5
10880.000;-1;-31.4
11008.000;-3;-20.7
11136.000;-1;-23.5
11264.000;-1;-30.2
11392.000;-5;-20.0
11520.000;-1;-23.5
11648.000;-1;-29.3
11776.000;-10;-17.9
11904.000;-1;-22.1
12032.000;-1;-26.8
12160.000;-8;-19.7
12288.000;-1;-21.0
12416.000;-1;-26.4
12544.000;-2;-32.7
12672.000;-1;-21.7
12800.000;-1;-25.9
12928.000;-1;-32.2
13056.000;-2;-21.4
13184.000;-1;-24.6
13312.000;-1;-31.3
13440.000;-3;-20.3
13568.000;-1;-24.7
13696.000;-1;-30.9
13824.000;-2;-18.9
13952.000;0;-23.8
14080.000;-1;-30.3
14208.000;-4;-19.5
14336.000;-1;-22.9
14464.000;-1;-29.0
14592.000;-9;-18.5
14720.000;-1;-22.6
14848.000;-1;-28.0
14976.000;-11;-12.8
15104.000;-1;-22.4
15232.000;-1;-27.9
15360.000;-2;-33.6
15488.000;-1;-22.0
15616.000;-1;-26.9
15744.000;-1;-33.4
15872.000;-2;-22.5
16000.000;-1;-26.9
16128.000;-1;-33.9
16256.000;-2;-23.0
16384.000;-1;-26.5
16512.000;-1;-33.6
16640.000;-3;-22.5
16768.000;-1;-26.3
16896.000;-1;-34.4
17024.000;-6;-23.5
17152.000;-1;-26.1
17280.000;-1;-32.9
17408.000;-7;-23.7
17536.000;-1;-26.5
17664.000;-1;-32.1
17792.000;-11;-17.6
17920.000;-1;-25.4
18048.000;-1;-30.7
18176.000;-1;-39.7
18304.000;-1;-25.2
18432.000;-1;-30.3
18560.000;-2;-35.9
18688.000;-1;-24.8
18816.000;-1;-28.8
18944.000;-1;-35.9
19072.000;-2;-24.3
19200.000;-1;-28.6
19328.000;-1;-35.2
19456.000;-3;-25.9
19584.000;-1;-29.6
19712.000;-1;-35.5
19840.000;-7;-26.5
19968.000;-1;-30.1
20096.000;-1;-36.3
20224.000;-9;-24.8
20352.000;-1;-27.8
20480.000;-1;-33.5
20608.000;-2;-38.6
