Date:;2020-07-08 21:13:16
Firmware Version:;0x0120;0x6150;0x0000;0x0000
EPOS Studio Version:;3.6.1.0
Index:;0x30D3;0x30D2;0x0000;0x0000
Subindex:;0x01;0x01;0x00;0x00
Max. samples:;500
Recorded samples:;500
Sampling period:;12.800
Scale:;0;True;2.000;98.500;-106.500;-90.500
Scale:;1;True;5.000;29.400;-49.400;-9.400
Trigger:;1;0.000000;"Parameter values";"Channel 1";"Rising above value"
TriggerAttributes:;1;4;0x30D3;0x01;0.000000
;Velocity actual value averaged;Torque actual value averaged
ms;rpm;%
0.000;-101;-24.1
12.800;-100;-24.8
25.600;-99;-27.1
38.400;-98;-30.2
51.200;-97;-31.0
64.000;-99;-28.5
76.800;-100;-28.0
89.600;-101;-26.8
102.400;-102;-23.9
115.200;-102;-24.3
128.000;-101;-25.2
140.800;-100;-25.5
153.600;-100;-26.7
166.400;-99;-27.9
179.200;-98;-29.4
192.000;-101;-25.1
204.800;-100;-27.7
217.600;-99;-28.2
230.400;-98;-31.3
243.200;-100;-26.9
256.000;-100;-30.3
268.800;-99;-29.8
281.600;-101;-25.9
294.400;-101;-26.5
307.200;-101;-26.0
320.000;-101;-25.6
332.800;-100;-27.0
345.600;-100;-26.1
358.400;-99;-29.3
371.200;-100;-26.6
384.000;-101;-26.3
396.800;-101;-25.4
409.600;-101;-23.8
422.400;-102;-22.1
435.200;-102;-21.5
448.000;-101;-23.2
460.800;-100;-23.9
473.600;-99;-25.5
486.400;-98;-26.5
499.200;-98;-26.7
512.000;-98;-27.5
524.800;-99;-26.4
537.600;-99;-28.0
550.400;-99;-29.4
563.200;-99;-29.0
576.000;-100;-28.1
588.800;-100;-28.9
601.600;-99;-29.9
614.400;-100;-29.5
627.200;-100;-28.6
640.000;-102;-26.8
652.800;-102;-25.5
665.600;-102;-23.8
678.400;-103;-23.0
691.200;-102;-23.4
704.000;-100;-25.4
716.800;-100;-25.5
729.600;-100;-24.6
742.400;-100;-25.5
755.200;-100;-24.0
768.000;-100;-24.5
780.800;-99;-26.0
793.600;-100;-24.4
806.400;-100;-24.8
819.200;-100;-25.1
832.000;-100;-24.9
844.800;-100;-25.8
857.600;-99;-26.8
870.400;-98;-28.5
883.200;-96;-33.7
896.000;-97;-33.6
908.800;-100;-27.7
921.600;-100;-29.3
934.400;-100;-30.8
947.200;-100;-30.0
960.000;-101;-29.5
972.800;-100;-30.7
985.600;-100;-29.7
998.400;-101;-28.4
1011.200;-103;-24.9
1024.000;-103;-23.0
1036.800;-103;-22.5
1049.600;-102;-22.6
1062.400;-101;-23.5
1075.200;-100;-23.9
1088.000;-98;-27.1
1100.800;-97;-28.8
1113.600;-97;-29.8
1126.400;-96;-32.5
1139.200;-96;-35.2
1152.000;-96;-35.8
1164.800;-97;-36.0
1177.600;-100;-33.9
1190.400;-101;-32.0
1203.200;-102;-32.0
1216.000;-101;-33.3
1228.800;-102;-30.4
1241.600;-104;-27.4
1254.400;-105;-23.2
1267.200;-105;-21.3
1280.000;-104;-20.7
1292.800;-102;-22.3
1305.600;-100;-23.7
