Date:;2020-07-09 22:15:14
Firmware Version:;0x0120;0x6150;0x0000;0x0000
EPOS Studio Version:;3.6.1.0
Index:;0x30D3;0x30D2;0x0000;0x0000
Subindex:;0x01;0x01;0x00;0x00
Max. samples:;500
Recorded samples:;500
Sampling period:;25.600
Scale:;0;True;2.000;71.000;-79.000;-63.000
Scale:;1;True;10.000;51.900;-91.900;-11.900
Trigger:;1;0.000000;"Parameter values";"Channel 1";"Rising above value"
TriggerAttributes:;1;4;0x30D3;0x01;0.000000
;Velocity actual value averaged;Torque actual value averaged
ms;rpm;%
0.000;-69;-46.1
25.600;-69;-52.2
51.200;-69;-53.5
76.800;-69;-54.8
102.400;-68;-63.7
128.000;-67;-71.4
153.600;-69;-69.8
179.200;-72;-60.7
204.800;-73;-55.1
230.400;-72;-52.7
256.000;-71;-52.2
281.600;-72;-49.6
307.200;-71;-49.3
332.800;-71;-44.0
358.400;-71;-43.7
384.000;-69;-49.9
409.600;-70;-46.6
435.200;-70;-45.1
460.800;-71;-42.3
486.400;-71;-42.5
512.000;-71;-40.0
537.600;-70;-38.9
563.200;-71;-36.2
588.800;-70;-36.7
614.400;-69;-40.5
640.000;-70;-37.3
665.600;-71;-32.3
691.200;-70;-36.3
716.800;-70;-36.1
742.400;-69;-39.7
768.000;-69;-41.1
793.600;-70;-39.2
819.200;-70;-38.0
844.800;-70;-40.5
870.400;-68;-47.6
896.000;-69;-48.1
921.600;-70;-43.5
947.200;-68;-51.3
972.800;-69;-53.8
998.400;-69;-58.8
1024.000;-69;-59.5
1049.600;-71;-54.8
1075.200;-72;-52.0
1100.800;-71;-51.7
1126.400;-70;-55.2
1152.000;-70;-56.6
1177.600;-70;-57.0
1203.200;-72;-49.3
1228.800;-72;-46.2
1254.400;-71;-48.6
1280.000;-70;-50.0
1305.600;-70;-48.1
1331.200;-70;-48.4
1356.800;-71;-44.3
1382.400;-71;-43.1
1408.000;-71;-38.9
1433.600;-71;-36.5
1459.200;-70;-39.7
1484.800;-70;-36.0
1510.400;-71;-32.7
1536.000;-70;-34.5
1561.600;-70;-34.7
1587.200;-69;-34.5
1612.800;-69;-37.0
1638.400;-69;-37.6
1664.000;-69;-38.2
1689.600;-69;-39.3
1715.200;-69;-40.8
1740.800;-69;-44.0
1766.400;-70;-41.2
1792.000;-70;-44.1
1817.600;-69;-46.0
1843.200;-68;-52.1
1868.800;-68;-57.9
1894.400;-71;-51.0
1920.000;-71;-51.6
1945.600;-70;-52.0
1971.200;-67;-64.8
1996.800;-69;-65.0
2022.400;-71;-57.2
2048.000;-73;-47.0
2073.600;-73;-45.9
2099.200;-70;-49.3
2124.800;-70;-49.5
2150.400;-70;-50.5
2176.000;-70;-47.8
2201.600;-71;-47.4
2227.200;-71;-44.1
2252.800;-72;-40.5
2278.400;-71;-39.1
2304.000;-71;-38.4
2329.600;-69;-40.9
2355.200;-70;-35.7
2380.800;-70;-33.1
2406.400;-70;-36.1
2432.000;-70;-36.5
2457.600;-69;-37.7
2483.200;-69;-40.3
2508.800;-70;-37.9
2534.400;-70;-36.4
2560.000;-70;-40.3
2585.600;-69;-42.6
2611.200;-69;-44.2
2636.800;-70;-43.9
2662.400;-68;-51.7
2688.000;-67;-59.9
2713.600;-69;-58.8
2739.200;-70;-58.4
2764.800;-71;-57.0
2790.400;-72;-51.9
2816.000;-71;-55.4
2841.600;-70;-59.5
2867.200;-69;-60.3
2892.800;-71;-53.1
2918.400;-73;-44.5
2944.000;-72;-44.1
2969.600;-70;-46.9
2995.200;-70;-46.1
3020.800;-69;-49.8
3046.400;-70;-47.9
3072.000;-70;-45.3
3097.600;-71;-40.6
3123.200;-71;-42.0
3148.800;-70;-41.7
3174.400;-70;-39.6
3200.000;-70;-39.7
3225.600;-70;-38.5
3251.200;-70;-40.9
3276.800;-71;-37.4
3302.400;-70;-37.9
3328.000;-70;-37.7
3353.600;-70;-35.7
3379.200;-70;-37.1
3404.800;-70;-37.1
3430.400;-69;-40.4
3456.000;-69;-42.1
3481.600;-69;-43.8
3507.200;-69;-47.0
3532.800;-67;-55.7
3558.400;-68;-60.0
3584.000;-70;-54.5
3609.600;-70;-58.8
3635.200;-70;-58.3
3660.800;-71;-55.2
3686.400;-71;-51.4
3712.000;-71;-52.4
3737.600;-70;-54.8
3763.200;-70;-54.3
3788.800;-71;-53.0
3814.400;-72;-47.0
3840.000;-70;-48.7
3865.600;-70;-51.0
3891.200;-70;-51.5
3916.800;-70;-49.9
3942.400;-71;-44.5
3968.000;-71;-38.7
3993.600;-71;-41.4
4019.200;-70;-42.4
4044.800;-70;-38.6
4070.400;-70;-38.0
4096.000;-70;-37.7
4121.600;-70;-36.3
4147.200;-70;-36.9
4172.800;-70;-34.9
4198.400;-70;-37.2
4224.000;-70;-37.6
4249.600;-70;-35.2
4275.200;-69;-39.3
4300.800;-69;-41.5
4326.400;-70;-39.0
4352.000;-68;-50.4
4377.600;-68;-51.4
4403.200;-69;-53.6
4428.800;-70;-53.7
4454.400;-70;-54.6
4480.000;-71;-50.3
4505.600;-71;-51.5
4531.200;-70;-50.7
4556.800;-69;-55.0
4582.400;-69;-56.1
4608.000;-70;-54.9
4633.600;-70;-55.2
4659.200;-71;-52.7
4684.800;-71;-50.0
4710.400;-70;-52.0
4736.000;-71;-49.6
4761.600;-69;-54.5
4787.200;-71;-49.7
4812.800;-71;-46.0
4838.400;-72;-41.4
4864.000;-71;-39.7
4889.600;-70;-42.5
4915.200;-70;-40.3
4940.800;-70;-39.0
4966.400;-69;-39.4
4992.000;-70;-39.4
5017.600;-70;-40.1
5043.200;-70;-39.4
5068.800;-68;-45.8
5094.400;-69;-42.1
5120.000;-71;-39.3
5145.600;-70;-39.6
5171.200;-69;-41.9
5196.800;-68;-50.6
5222.400;-67;-55.5
5248.000;-67;-63.4
5273.600;-69;-61.0
5299.200;-70;-62.3
5324.800;-70;-61.3
5350.400;-70;-64.0
5376.000;-69;-65.5
5401.600;-70;-68.5
5427.200;-70;-69.3
5452.800;-71;-63.0
5478.400;-72;-59.8
5504.000;-73;-49.6
5529.600;-73;-47.1
5555.200;-71;-47.8
5580.800;-71;-47.1
5606.400;-70;-48.7
5632.000;-69;-49.9
5657.600;-71;-43.9
5683.200;-71;-41.7
5708.800;-71;-38.7
5734.400;-70;-41.5
5760.000;-70;-40.5
5785.600;-70;-37.8
5811.200;-69;-41.0
5836.800;-70;-37.7
5862.400;-70;-38.1
5888.000;-69;-40.3
5913.600;-69;-42.7
5939.200;-70;-40.8
5964.800;-70;-41.0
5990.400;-70;-42.6
6016.000;-69;-45.5
6041.600;-68;-51.6
6067.200;-69;-53.8
6092.800;-68;-61.2
6118.400;-69;-59.9
6144.000;-69;-66.4
6169.600;-69;-67.6
6195.200;-70;-64.9
6220.800;-71;-65.7
6246.400;-71;-65.0
6272.000;-71;-64.2
6297.600;-71;-64.9
6323.200;-70;-66.4
6348.800;-70;-63.4
6374.400;-72;-57.3
6400.000;-71;-61.6
6425.600;-72;-54.4
6451.200;-72;-51.1
6476.800;-71;-51.1
6502.400;-71;-46.6
6528.000;-71;-44.0
6553.600;-72;-38.9
6579.200;-71;-39.0
6604.800;-70;-38.8
6630.400;-69;-40.7
6656.000;-70;-39.0
6681.600;-70;-35.8
6707.200;-70;-34.6
6732.800;-69;-41.3
6758.400;-69;-40.8
6784.000;-69;-43.9
6809.600;-70;-41.3
6835.200;-69;-47.5
6860.800;-68;-51.0
6886.400;-69;-53.0
6912.000;-69;-56.0
6937.600;-68;-62.6
6963.200;-71;-55.5
6988.800;-69;-62.3
7014.400;-69;-66.1
7040.000;-69;-67.9
7065.600;-70;-67.6
7091.200;-72;-60.4
7116.800;-71;-63.5
7142.400;-71;-62.5
7168.000;-71;-62.5
7193.600;-71;-61.6
7219.200;-72;-56.4
7244.800;-72;-53.3
7270.400;-70;-54.2
7296.000;-69;-60.7
7321.600;-69;-62.3
7347.200;-71;-54.8
7372.800;-73;-45.9
7398.400;-72;-42.0
7424.000;-72;-38.0
7449.600;-70;-40.8
7475.200;-70;-40.7
7500.800;-70;-40.0
7526.400;-70;-40.0
7552.000;-69;-41.6
7577.600;-69;-40.0
7603.200;-70;-41.5
7628.800;-69;-44.0
7654.400;-70;-42.5
7680.000;-69;-46.1
7705.600;-69;-47.0
7731.200;-69;-50.1
7756.800;-69;-54.2
7782.400;-69;-53.8
7808.000;-69;-55.3
7833.600;-68;-63.4
7859.200;-69;-63.5
7884.800;-70;-63.0
7910.400;-70;-65.3
7936.000;-70;-67.7
7961.600;-71;-61.7
7987.200;-72;-61.4
8012.800;-70;-62.1
8038.400;-70;-61.4
8064.000;-73;-49.3
8089.600;-72;-47.9
8115.200;-71;-50.2
8140.800;-70;-50.3
8166.400;-68;-60.5
8192.000;-70;-51.3
8217.600;-72;-44.7
8243.200;-71;-43.6
8268.800;-71;-40.1
8294.400;-71;-39.1
8320.000;-70;-41.5
8345.600;-70;-39.5
8371.200;-70;-40.1
8396.800;-70;-36.9
8422.400;-69;-40.8
8448.000;-69;-42.9
8473.600;-69;-42.6
8499.200;-69;-41.7
8524.800;-70;-44.4
8550.400;-70;-43.0
8576.000;-69;-48.6
8601.600;-68;-51.9
8627.200;-69;-53.0
8652.800;-69;-56.7
8678.400;-69;-61.9
8704.000;-68;-64.7
8729.600;-70;-62.2
8755.200;-71;-60.3
8780.800;-70;-62.6
8806.400;-70;-62.4
8832.000;-69;-70.3
8857.600;-69;-69.2
8883.200;-71;-67.7
8908.800;-70;-70.2
8934.400;-73;-58.3
8960.000;-75;-43.7
8985.600;-73;-39.3
9011.200;-70;-46.0
9036.800;-68;-54.9
9062.400;-69;-50.5
9088.000;-70;-47.3
9113.600;-71;-44.6
9139.200;-71;-41.4
9164.800;-70;-42.7
9190.400;-70;-45.3
9216.000;-70;-43.1
9241.600;-70;-40.6
9267.200;-70;-41.0
9292.800;-69;-44.2
9318.400;-69;-45.1
9344.000;-70;-46.2
9369.600;-69;-46.9
9395.200;-70;-45.7
9420.800;-70;-45.2
9446.400;-69;-50.1
9472.000;-69;-50.5
9497.600;-69;-55.7
