Date:;2020-07-09 22:12:46
Firmware Version:;0x0120;0x6150;0x0000;0x0000
EPOS Studio Version:;3.6.1.0
Index:;0x30D3;0x30D2;0x0000;0x0000
Subindex:;0x01;0x01;0x00;0x00
Max. samples:;500
Recorded samples:;500
Sampling period:;25.600
Scale:;0;True;1.000;-100.000;96.000;104.000
Scale:;1;True;5.000;-52.600;32.600;72.600
Trigger:;1;0.000000;"Parameter values";"Channel 1";"Rising above value"
TriggerAttributes:;1;4;0x30D3;0x01;0.000000
;Velocity actual value averaged;Torque actual value averaged
ms;rpm;%
0.000;100;59.6
25.600;101;55.7
51.200;100;60.8
76.800;99;63.5
102.400;100;59.7
128.000;102;54.5
153.600;102;51.7
179.200;101;51.2
204.800;101;49.3
230.400;100;50.7
256.000;101;48.6
281.600;100;46.3
307.200;99;51.0
332.800;101;43.8
358.400;102;39.7
384.000;101;41.3
409.600;99;45.6
435.200;98;55.0
460.800;99;49.3
486.400;99;53.4
512.000;100;50.7
537.600;100;51.7
563.200;99;57.1
588.800;99;56.6
614.400;101;54.5
640.000;100;56.6
665.600;99;60.3
691.200;101;57.0
716.800;101;53.6
742.400;101;50.9
768.000;100;51.4
793.600;101;48.9
819.200;100;48.2
844.800;100;50.0
870.400;101;43.1
896.000;101;43.8
921.600;100;45.8
947.200;101;38.7
972.800;101;38.3
998.400;98;47.8
1024.000;98;50.9
1049.600;99;48.3
1075.200;98;53.4
1100.800;99;58.6
1126.400;100;54.9
1152.000;100;55.4
1177.600;100;56.4
1203.200;100;57.2
1228.800;101;52.8
1254.400;101;53.2
1280.000;100;54.6
1305.600;101;50.5
1331.200;101;50.0
1356.800;101;49.0
1382.400;100;49.9
1408.000;101;45.9
1433.600;100;50.6
1459.200;99;50.2
1484.800;101;44.1
1510.400;101;44.7
1536.000;101;41.7
1561.600;100;43.2
1587.200;101;41.9
1612.800;99;44.9
1638.400;99;45.0
1664.000;99;50.5
1689.600;98;54.2
1715.200;100;52.1
1740.800;100;54.8
1766.400;99;58.0
1792.000;99;57.4
1817.600;100;53.8
1843.200;101;53.1
1868.800;100;54.4
1894.400;100;53.3
1920.000;101;51.3
1945.600;100;50.2
1971.200;101;49.1
1996.800;101;49.5
2022.400;100;48.8
2048.000;100;51.8
2073.600;101;47.0
2099.200;101;42.8
2124.800;100;45.3
2150.400;99;48.4
2176.000;101;37.0
2201.600;99;49.5
2227.200;98;50.5
2252.800;99;48.3
2278.400;98;55.5
2304.000;99;52.0
2329.600;101;47.6
2355.200;100;54.5
2380.800;100;55.2
2406.400;100;53.8
2432.000;101;51.4
2457.600;100;52.7
2483.200;100;52.0
2508.800;100;51.4
2534.400;101;49.2
2560.000;101;47.1
2585.600;101;46.4
2611.200;100;46.8
2636.800;99;48.1
2662.400;99;49.3
2688.000;101;44.6
