Date:;2020-07-09 22:11:08
Firmware Version:;0x0120;0x6150;0x0000;0x0000
EPOS Studio Version:;3.6.1.0
Index:;0x30D3;0x30D2;0x0000;0x0000
Subindex:;0x01;0x01;0x00;0x00
Max. samples:;500
Recorded samples:;500
Sampling period:;12.800
Scale:;0;True;2.000;-140.000;132.000;148.000
Scale:;1;True;10.000;-61.450;21.450;101.450
Trigger:;1;0.000000;"Parameter values";"Channel 1";"Rising above value"
TriggerAttributes:;1;4;0x30D3;0x01;0.000000
;Velocity actual value averaged;Torque actual value averaged
ms;rpm;%
0.000;140;47.0
12.800;138;53.0
25.600;138;59.7
38.400;138;60.9
51.200;139;58.9
64.000;140;54.5
76.800;140;57.4
89.600;139;62.7
102.400;139;62.3
115.200;140;60.0
128.000;140;57.6
140.800;141;56.3
153.600;139;64.2
166.400;140;60.2
179.200;140;58.4
192.000;140;57.9
204.800;141;56.8
217.600;141;52.9
230.400;141;53.1
243.200;141;53.5
256.000;141;51.5
268.800;141;49.7
281.600;140;54.5
294.400;140;51.7
307.200;141;50.3
320.000;141;48.6
332.800;141;47.7
345.600;141;44.8
358.400;141;42.3
371.200;140;44.9
384.000;140;45.5
396.800;138;51.6
409.600;138;51.3
422.400;139;51.2
435.200;139;51.7
448.000;138;56.3
460.800;137;64.5
473.600;138;63.5
486.400;139;58.2
499.200;140;57.9
512.000;139;61.5
524.800;139;63.2
537.600;140;60.9
550.400;141;55.9
563.200;141;58.3
576.000;139;64.1
588.800;141;56.7
601.600;141;54.8
614.400;141;57.4
627.200;141;53.3
640.000;141;54.6
652.800;141;51.5
665.600;141;50.1
678.400;141;49.4
691.200;140;50.5
704.000;141;50.5
716.800;140;53.5
729.600;140;53.4
742.400;140;49.7
755.200;141;49.5
768.000;141;48.1
780.800;141;43.0
793.600;141;41.2
806.400;140;46.2
819.200;139;49.6
832.000;139;49.1
844.800;138;51.8
857.600;139;52.2
870.400;139;54.2
883.200;140;46.0
896.000;139;54.8
908.800;139;52.1
921.600;139;55.8
934.400;139;57.3
947.200;139;54.6
960.000;140;54.7
972.800;140;52.3
985.600;141;53.0
998.400;141;48.3
1011.200;140;50.7
1024.000;140;51.8
1036.800;139;58.4
1049.600;138;61.6
1062.400;140;51.4
1075.200;141;51.3
1088.000;142;47.5
1100.800;141;47.2
1113.600;141;48.9
1126.400;141;47.9
1139.200;141;45.9
1152.000;140;46.0
1164.800;140;47.2
1177.600;140;47.7
1190.400;140;48.9
1203.200;140;45.7
1216.000;141;40.6
1228.800;141;42.9
1241.600;140;46.9
1254.400;139;49.9
1267.200;139;50.1
1280.000;140;44.1
1292.800;139;53.4
1305.600;139;51.0
1318.400;139;50.1
1331.200;139;51.8
1344.000;139;52.4
1356.800;139;52.1
1369.600;139;52.4
1382.400;140;52.8
1395.200;140;55.2
1408.000;140;51.6
1420.800;141;49.1
1433.600;141;47.3
1446.400;140;50.7
1459.200;139;54.1
1472.000;139;53.8
1484.800;139;53.8
1497.600;141;49.5
1510.400;141;46.4
1523.200;140;50.3
1536.000;140;49.2
1548.800;140;47.8
1561.600;141;47.2
1574.400;140;49.1
1587.200;140;48.5
1600.000;140;47.1
1612.800;140;46.0
1625.600;140;47.6
1638.400;141;44.3
1651.200;140;45.1
1664.000;140;46.8
1676.800;139;50.9
1689.600;140;49.1
1702.400;140;49.7
1715.200;139;53.7
1728.000;138;57.9
1740.800;138;59.4
1753.600;140;53.7
1766.400;139;56.8
1779.200;140;53.9
1792.000;141;51.8
1804.800;141;49.4
1817.600;139;60.4
1830.400;140;58.1
1843.200;142;49.4
1856.000;143;41.5
1868.800;142;44.4
1881.600;140;52.4
1894.400;139;52.3
1907.200;140;46.9
1920.000;139;52.9
1932.800;140;47.1
1945.600;140;47.9
1958.400;140;52.2
1971.200;140;47.0
1984.000;141;46.1
1996.800;140;45.8
2009.600;139;51.5
2022.400;140;47.8
2035.200;141;45.5
2048.000;140;49.7
2060.800;140;46.6
2073.600;139;49.7
2086.400;140;48.7
2099.200;140;46.5
2112.000;140;45.5
2124.800;140;47.8
2137.600;140;46.4
2150.400;140;46.8
2163.200;138;54.9
2176.000;138;55.0
2188.800;138;57.8
2201.600;139;54.7
2214.400;140;50.8
2227.200;141;49.5
2240.000;140;54.8
2252.800;139;56.0
2265.600;140;56.3
2278.400;142;47.0
2291.200;142;48.1
2304.000;141;48.4
2316.800;140;52.8
2329.600;140;52.4
2342.400;140;53.3
2355.200;141;50.1
2368.000;140;49.3
2380.800;140;50.3
2393.600;140;49.6
2406.400;140;50.3
2419.200;140;51.9
2432.000;139;53.5
2444.800;140;51.9
2457.600;141;47.2
2470.400;141;46.5
2483.200;141;46.0
2496.000;141;44.0
2508.800;141;47.2
2521.600;141;44.1
2534.400;141;41.7
2547.200;140;45.5
2560.000;138;51.2
2572.800;138;53.1
2585.600;139;49.2
2598.400;139;52.6
2611.200;139;53.9
2624.000;139;55.0
2636.800;139;53.8
2649.600;140;50.5
2662.400;140;50.5
2675.200;139;56.0
2688.000;140;54.4
2700.800;140;54.9
2713.600;139;57.8
2726.400;139;60.6
2739.200;141;50.1
2752.000;141;51.0
2764.800;141;50.8
2777.600;140;52.9
2790.400;141;47.8
2803.200;141;48.4
2816.000;140;51.8
2828.800;140;51.4
2841.600;140;49.1
2854.400;140;50.3
2867.200;140;52.6
2880.000;140;50.0
2892.800;141;47.2
2905.600;141;46.1
2918.400;141;44.8
2931.200;141;46.4
2944.000;140;48.9
2956.800;139;51.5
2969.600;141;45.4
2982.400;140;44.7
2995.200;138;55.6
3008.000;139;53.9
3020.800;139;55.7
3033.600;138;58.4
3046.400;138;64.7
3059.200;138;64.1
3072.000;139;64.9
3084.800;141;57.0
3097.600;140;59.6
3110.400;140;58.7
3123.200;141;58.3
3136.000;140;63.2
3148.800;140;60.2
3161.600;141;56.7
3174.400;141;58.3
3187.200;140;58.7
3200.000;141;54.6
3212.800;141;54.3
3225.600;141;52.9
3238.400;141;48.5
3251.200;141;51.6
3264.000;140;51.6
3276.800;140;55.1
3289.600;140;54.5
3302.400;140;50.0
3315.200;142;45.7
3328.000;142;40.9
3340.800;140;51.2
3353.600;140;47.3
3366.400;139;53.4
3379.200;139;51.3
3392.000;140;50.0
3404.800;141;43.5
3417.600;141;44.4
3430.400;139;53.9
3443.200;136;65.0
3456.000;137;63.3
3468.800;137;65.7
3481.600;136;72.1
3494.400;138;69.7
3507.200;138;72.4
3520.000;140;65.2
3532.800;140;65.2
3545.600;141;64.8
3558.400;143;54.6
3571.200;142;56.4
3584.000;141;61.7
3596.800;141;58.0
3609.600;141;58.2
3622.400;140;57.7
3635.200;139;65.1
3648.000;140;58.9
3660.800;142;53.7
3673.600;141;52.4
3686.400;141;55.1
3699.200;141;53.5
3712.000;140;54.9
3724.800;141;50.0
3737.600;141;49.6
3750.400;141;47.3
3763.200;141;45.6
3776.000;141;46.7
3788.800;141;45.1
3801.600;139;51.0
3814.400;140;46.8
3827.200;139;49.7
3840.000;139;52.1
3852.800;138;55.5
3865.600;139;53.0
3878.400;138;58.2
3891.200;138;60.0
3904.000;138;59.2
3916.800;140;55.2
3929.600;141;54.4
3942.400;140;55.9
3955.200;140;55.2
3968.000;139;60.2
3980.800;140;56.9
3993.600;140;55.2
4006.400;141;55.2
4019.200;139;59.3
4032.000;140;58.4
4044.800;141;54.9
4057.600;141;51.6
4070.400;141;55.2
4083.200;141;51.8
4096.000;141;50.8
4108.800;140;50.7
4121.600;141;51.2
4134.400;140;51.5
4147.200;140;48.4
4160.000;140;49.0
4172.800;140;49.3
4185.600;140;47.1
4198.400;140;49.0
4211.200;140;46.9
4224.000;140;50.0
4236.800;140;50.0
4249.600;140;49.1
4262.400;139;52.6
4275.200;138;57.4
4288.000;137;61.7
4300.800;138;63.3
4313.600;138;65.2
4326.400;138;64.1
4339.200;139;61.7
4352.000;141;56.1
4364.800;142;52.7
4377.600;142;51.2
4390.400;141;53.8
4403.200;140;55.8
4416.000;140;56.0
4428.800;140;55.8
4441.600;139;60.0
4454.400;139;60.0
4467.200;140;56.4
4480.000;140;55.1
4492.800;141;53.9
4505.600;141;49.4
4518.400;141;50.2
4531.200;142;48.4
4544.000;141;48.6
4556.800;141;49.0
4569.600;141;45.6
4582.400;141;45.2
4595.200;140;47.5
4608.000;139;49.0
4620.800;140;45.9
4633.600;140;46.9
4646.400;140;45.9
4659.200;140;49.0
4672.000;139;51.0
4684.800;139;48.3
4697.600;139;51.2
4710.400;139;53.1
4723.200;138;58.1
4736.000;137;62.0
4748.800;138;62.8
4761.600;138;63.4
4774.400;140;57.8
4787.200;141;55.8
4800.000;142;51.8
4812.800;141;53.3
4825.600;140;55.4
4838.400;140;58.7
4851.200;139;58.7
4864.000;140;56.7
4876.800;140;56.2
4889.600;141;50.9
4902.400;141;50.4
4915.200;142;50.0
4928.000;141;49.3
4940.800;141;47.5
4953.600;141;48.0
4966.400;140;51.1
4979.200;140;51.4
4992.000;140;48.4
5004.800;141;46.0
5017.600;141;43.8
5030.400;140;46.6
5043.200;140;45.4
5056.000;140;44.8
5068.800;140;46.8
5081.600;138;51.8
5094.400;139;51.0
5107.200;140;49.3
5120.000;139;51.2
5132.800;139;55.5
5145.600;139;54.6
5158.400;138;59.3
5171.200;137;66.3
5184.000;138;66.4
5196.800;139;62.3
5209.600;140;62.5
5222.400;139;65.1
5235.200;140;61.0
5248.000;141;60.0
5260.800;141;61.3
5273.600;141;60.2
5286.400;140;62.4
5299.200;142;56.1
5312.000;142;55.3
5324.800;142;53.6
5337.600;141;51.4
5350.400;142;50.6
5363.200;142;46.5
5376.000;141;49.3
5388.800;141;51.4
5401.600;139;55.6
5414.400;139;57.0
5427.200;140;52.8
5440.000;140;52.0
5452.800;140;53.6
5465.600;139;57.3
5478.400;141;47.7
5491.200;141;51.6
5504.000;140;52.4
5516.800;140;53.6
5529.600;138;60.0
5542.400;139;57.5
5555.200;141;52.8
5568.000;140;55.5
5580.800;139;59.9
5593.600;137;67.4
5606.400;138;68.7
5619.200;138;69.0
5632.000;138;71.7
5644.800;136;82.5
5657.600;137;80.0
5670.400;140;73.8
5683.200;141;72.2
5696.000;141;71.7
5708.800;141;71.5
5721.600;141;71.4
5734.400;142;66.0
5747.200;143;59.4
5760.000;144;54.9
5772.800;144;50.8
5785.600;144;46.8
5798.400;143;44.1
5811.200;142;47.7
5824.000;140;52.3
5836.800;139;52.7
