Date:;2020-07-09 22:14:46
Firmware Version:;0x0120;0x6150;0x0000;0x0000
EPOS Studio Version:;3.6.1.0
Index:;0x30D3;0x30D2;0x0000;0x0000
Subindex:;0x01;0x01;0x00;0x00
Max. samples:;500
Recorded samples:;500
Sampling period:;25.600
Scale:;0;True;1.000;-80.000;76.000;84.000
Scale:;1;True;5.000;-53.300;33.300;73.300
Trigger:;1;0.000000;"Parameter values";"Channel 1";"Rising above value"
TriggerAttributes:;1;4;0x30D3;0x01;0.000000
;Velocity actual value averaged;Torque actual value averaged
ms;rpm;%
0.000;79;47.9
25.600;80;43.5
51.200;82;38.2
76.800;81;37.9
102.400;80;40.7
128.000;79;45.8
153.600;78;47.8
179.200;79;49.7
204.800;79;51.0
230.400;79;54.4
256.000;79;58.3
281.600;80;54.8
307.200;81;53.4
332.800;80;54.8
358.400;80;53.8
384.000;81;52.3
409.600;81;50.5
435.200;81;50.3
460.800;80;51.5
486.400;79;58.6
512.000;80;53.9
537.600;82;47.6
563.200;81;47.0
588.800;81;45.1
614.400;80;48.4
640.000;81;44.1
665.600;81;44.6
691.200;80;45.0
716.800;80;45.5
742.400;80;46.8
768.000;80;45.2
793.600;80;44.3
819.200;80;43.3
844.800;80;42.3
870.400;79;46.0
896.000;80;45.5
921.600;79;49.1
947.200;78;55.9
972.800;79;53.5
998.400;79;57.1
1024.000;80;57.0
1049.600;80;55.2
1075.200;81;53.1
1100.800;80;55.4
1126.400;80;55.6
1152.000;80;55.0
1177.600;81;52.7
1203.200;80;53.8
1228.800;80;52.8
1254.400;81;51.2
1280.000;81;46.6
1305.600;81;48.4
1331.200;80;46.8
1356.800;79;48.8
1382.400;81;44.2
1408.000;81;45.0
1433.600;79;47.1
1459.200;80;45.5
1484.800;80;43.2
1510.400;80;46.5
1536.000;80;42.7
1561.600;80;41.4
1587.200;81;39.7
1612.800;80;40.3
1638.400;79;47.4
1664.000;78;51.4
1689.600;77;57.9
1715.200;79;56.0
1740.800;79;56.6
1766.400;80;57.9
1792.000;82;50.8
1817.600;81;49.6
1843.200;80;51.2
1868.800;80;52.7
1894.400;79;56.7
1920.000;81;49.0
1945.600;81;47.6
1971.200;80;53.8
1996.800;79;55.4
2022.400;80;51.3
2048.000;81;51.9
2073.600;81;46.9
2099.200;81;46.9
2124.800;80;47.5
2150.400;80;46.9
2176.000;80;49.9
2201.600;80;47.2
2227.200;81;44.1
2252.800;80;46.4
2278.400;81;44.4
2304.000;80;43.0
2329.600;80;42.0
2355.200;81;38.7
2380.800;80;42.1
2406.400;78;48.1
2432.000;78;54.6
2457.600;81;46.6
2483.200;79;55.3
2508.800;79;55.1
2534.400;80;54.2
2560.000;82;48.6
2585.600;80;51.6
2611.200;80;55.1
2636.800;80;53.2
2662.400;80;51.7
2688.000;80;53.7
2713.600;80;52.0
2739.200;81;49.8
2764.800;80;52.4
2790.400;80;52.9
2816.000;81;48.4
2841.600;81;49.2
2867.200;80;49.0
2892.800;80;48.1
2918.400;80;48.5
2944.000;80;49.1
2969.600;81;47.5
2995.200;81;44.9
3020.800;81;45.0
3046.400;80;45.3
3072.000;80;45.0
3097.600;80;42.4
3123.200;80;41.2
3148.800;80;43.9
3174.400;78;52.6
3200.000;78;54.7
3225.600;78;57.5
3251.200;79;59.7
3276.800;79;62.9
3302.400;79;65.5
3328.000;81;59.1
3353.600;81;58.6
3379.200;81;59.6
3404.800;81;55.9
3430.400;81;57.6
3456.000;81;52.8
3481.600;80;53.7
3507.200;80;53.4
3532.800;80;53.1
3558.400;80;53.6
3584.000;81;48.8
3609.600;81;46.3
3635.200;81;45.7
3660.800;80;48.9
3686.400;80;47.4
3712.000;80;45.8
3737.600;81;40.8
3763.200;80;45.1
3788.800;79;45.7
3814.400;78;51.9
3840.000;80;46.4
3865.600;80;48.1
3891.200;81;46.1
3916.800;79;51.7
3942.400;77;64.0
3968.000;78;66.5
3993.600;78;68.5
4019.200;80;67.4
4044.800;82;62.1
4070.400;82;60.0
4096.000;81;61.4
4121.600;81;57.4
4147.200;82;52.3
4172.800;82;50.3
4198.400;81;52.0
4224.000;79;55.6
4249.600;81;50.3
4275.200;80;50.8
4300.800;80;51.8
4326.400;81;46.9
4352.000;81;45.5
4377.600;81;45.2
4403.200;79;49.6
4428.800;79;53.6
4454.400;80;50.1
4480.000;80;48.2
4505.600;81;45.5
4531.200;81;44.9
4556.800;80;46.0
4582.400;79;47.4
4608.000;80;49.2
4633.600;79;51.3
4659.200;80;50.5
4684.800;80;52.1
4710.400;79;54.0
4736.000;78;62.7
4761.600;78;66.4
4787.200;80;59.2
4812.800;80;61.0
4838.400;81;61.4
4864.000;81;56.2
4889.600;81;57.5
4915.200;81;53.6
4940.800;80;56.9
4966.400;80;55.3
4992.000;81;50.3
5017.600;81;47.6
5043.200;81;49.7
5068.800;79;50.3
5094.400;80;47.4
5120.000;80;47.7
5145.600;79;49.5
5171.200;80;49.7
5196.800;80;49.0
5222.400;80;47.2
5248.000;81;43.8
5273.600;80;44.7
5299.200;80;45.2
5324.800;80;45.3
5350.400;80;44.7
5376.000;80;43.1
5401.600;78;53.4
5427.200;79;53.8
5452.800;79;56.2
5478.400;78;63.7
5504.000;79;65.2
5529.600;80;61.5
5555.200;83;50.2
5580.800;82;51.3
5606.400;80;53.0
5632.000;80;55.3
5657.600;80;54.4
5683.200;80;56.4
5708.800;80;56.2
5734.400;80;53.1
5760.000;80;51.4
5785.600;81;48.3
5811.200;81;47.3
5836.800;81;45.2
5862.400;81;44.5
5888.000;80;43.5
5913.600;80;44.7
5939.200;79;47.7
5964.800;79;50.3
5990.400;80;47.5
6016.000;80;48.8
6041.600;81;44.7
6067.200;80;44.0
6092.800;80;46.8
6118.400;80;46.9
6144.000;79;47.5
6169.600;78;55.4
6195.200;78;59.5
6220.800;78;65.6
6246.400;78;68.7
6272.000;80;67.2
6297.600;82;59.2
6323.200;82;55.7
6348.800;81;55.8
6374.400;80;60.2
6400.000;80;58.3
6425.600;80;59.3
6451.200;81;56.4
6476.800;81;51.6
6502.400;81;49.9
6528.000;81;48.7
6553.600;81;44.2
6579.200;80;46.9
6604.800;80;47.3
6630.400;79;48.6
6656.000;80;46.9
6681.600;80;48.2
6707.200;80;47.4
6732.800;80;45.9
6758.400;80;44.2
6784.000;81;43.0
6809.600;79;50.6
6835.200;80;44.9
6860.800;80;45.1
6886.400;80;44.2
6912.000;79;50.4
6937.600;78;54.5
6963.200;79;57.0
6988.800;78;63.9
7014.400;79;65.0
7040.000;80;60.3
7065.600;81;59.1
7091.200;81;59.8
7116.800;81;55.8
7142.400;81;57.6
7168.000;81;56.8
7193.600;81;52.1
7219.200;82;46.3
7244.800;80;49.6
7270.400;81;47.7
7296.000;80;46.0
7321.600;79;50.4
7347.200;80;50.5
7372.800;80;49.7
7398.400;80;47.9
7424.000;81;44.2
7449.600;79;49.3
7475.200;80;47.0
7500.800;80;45.7
7526.400;80;45.3
7552.000;79;49.9
7577.600;79;50.4
7603.200;80;49.5
7628.800;80;44.2
7654.400;78;55.2
7680.000;79;53.9
7705.600;78;62.5
7731.200;78;61.7
7756.800;80;62.6
7782.400;81;59.6
7808.000;80;60.8
7833.600;81;57.4
7859.200;81;56.2
7884.800;81;54.3
7910.400;81;55.3
7936.000;80;55.5
7961.600;81;52.5
7987.200;81;51.0
8012.800;80;49.6
8038.400;81;46.3
8064.000;79;51.7
8089.600;79;53.8
8115.200;79;55.5
8140.800;81;50.7
8166.400;78;61.7
8192.000;79;60.7
8217.600;81;50.6
8243.200;83;39.7
8268.800;82;37.9
8294.400;80;43.6
8320.000;79;47.9
8345.600;79;47.1
8371.200;80;46.4
8396.800;81;40.7
8422.400;77;56.2
8448.000;78;54.4
8473.600;79;55.2
8499.200;79;61.4
8524.800;79;61.1
8550.400;81;55.7
8576.000;81;55.1
8601.600;81;54.5
8627.200;79;61.0
8652.800;81;55.3
8678.400;81;51.8
8704.000;81;52.6
8729.600;81;49.9
8755.200;81;48.5
8780.800;80;47.8
8806.400;80;48.2
8832.000;79;53.8
8857.600;79;55.7
8883.200;80;53.3
8908.800;79;58.5
8934.400;80;56.2
8960.000;81;52.4
8985.600;82;45.6
9011.200;82;39.6
9036.800;81;38.5
9062.400;79;46.8
9088.000;79;42.4
9113.600;80;39.6
9139.200;80;41.2
9164.800;78;47.9
9190.400;78;52.2
9216.000;78;57.3
9241.600;78;59.0
9267.200;79;62.1
9292.800;80;57.8
9318.400;82;50.1
9344.000;81;48.8
9369.600;80;55.3
9395.200;80;53.3
9420.800;80;51.6
9446.400;79;57.4
9472.000;80;58.4
9497.600;81;49.7
9523.200;82;47.2
9548.800;81;47.3
9574.400;79;50.0
9600.000;79;51.1
9625.600;79;54.6
9651.200;80;49.8
9676.800;81;46.6
9702.400;80;49.3
9728.000;80;50.0
9753.600;81;45.3
9779.200;81;44.6
9804.800;80;44.5
9830.400;79;50.8
9856.000;79;48.4
9881.600;81;47.6
9907.200;79;52.0
9932.800;79;55.2
9958.400;79;58.0
9984.000;79;59.1
10009.600;80;59.5
10035.200;80;63.5
10060.800;80;63.3
10086.400;81;59.6
10112.000;80;61.4
10137.600;81;58.0
10163.200;82;51.5
10188.800;81;54.4
10214.400;80;57.2
10240.000;81;51.7
10265.600;81;48.5
10291.200;81;47.7
10316.800;80;49.6
10342.400;79;53.9
10368.000;80;52.1
10393.600;81;49.9
10419.200;81;46.0
10444.800;81;44.7
10470.400;79;50.4
10496.000;79;50.0
10521.600;81;44.1
10547.200;79;49.5
10572.800;80;48.6
10598.400;81;44.3
10624.000;78;52.2
10649.600;80;47.0
10675.200;80;48.5
10700.800;79;54.2
10726.400;79;56.2
10752.000;78;63.8
10777.600;78;66.2
10803.200;79;65.2
10828.800;82;56.6
10854.400;82;55.6
10880.000;81;54.8
10905.600;81;50.4
10931.200;80;53.9
10956.800;80;54.2
10982.400;80;52.9
11008.000;81;47.8
11033.600;80;51.2
11059.200;78;56.6
11084.800;79;57.2
11110.400;81;49.9
11136.000;81;48.4
11161.600;81;50.3
11187.200;81;47.2
11212.800;80;48.3
11238.400;79;50.4
