Date:;2020-07-09 22:13:18
Firmware Version:;0x0120;0x6150;0x0000;0x0000
EPOS Studio Version:;3.6.1.0
Index:;0x30D3;0x30D2;0x0000;0x0000
Subindex:;0x01;0x01;0x00;0x00
Max. samples:;500
Recorded samples:;500
Sampling period:;25.600
Scale:;0;True;2.000;90.000;-98.000;-82.000
Scale:;1;True;10.000;53.050;-93.050;-13.050
Trigger:;1;0.000000;"Parameter values";"Channel 1";"Rising above value"
TriggerAttributes:;1;4;0x30D3;0x01;0.000000
;Velocity actual value averaged;Torque actual value averaged
ms;rpm;%
0.000;-90;-35.5
25.600;-90;-36.1
51.200;-90;-35.9
76.800;-91;-29.5
102.400;-89;-37.7
128.000;-90;-35.6
153.600;-90;-33.7
179.200;-90;-35.2
204.800;-88;-41.5
230.400;-88;-44.6
256.000;-89;-45.2
281.600;-87;-58.9
307.200;-87;-62.9
332.800;-91;-55.2
358.400;-92;-49.3
384.000;-91;-51.9
409.600;-90;-55.1
435.200;-90;-55.2
460.800;-92;-48.8
486.400;-92;-43.5
512.000;-92;-41.4
537.600;-92;-37.7
563.200;-91;-35.8
588.800;-90;-35.9
614.400;-90;-35.5
640.000;-90;-35.9
665.600;-90;-36.4
691.200;-90;-34.8
716.800;-89;-36.8
742.400;-90;-32.9
768.000;-90;-35.8
793.600;-91;-30.5
819.200;-90;-34.4
844.800;-88;-40.3
870.400;-88;-41.4
896.000;-88;-48.7
921.600;-88;-53.7
947.200;-87;-61.8
972.800;-88;-62.5
998.400;-90;-59.9
1024.000;-92;-55.9
1049.600;-91;-58.4
1075.200;-90;-60.8
1100.800;-92;-49.5
1126.400;-91;-52.8
1152.000;-92;-46.7
1177.600;-92;-42.1
1203.200;-90;-48.8
1228.800;-89;-49.7
1254.400;-90;-49.0
1280.000;-91;-42.1
1305.600;-91;-40.7
1331.200;-91;-38.5
1356.800;-90;-38.3
1382.400;-90;-36.9
1408.000;-90;-37.3
1433.600;-89;-41.5
1459.200;-89;-41.6
1484.800;-89;-44.0
1510.400;-87;-54.5
1536.000;-88;-56.7
1561.600;-91;-49.6
1587.200;-89;-57.1
1612.800;-87;-65.3
1638.400;-88;-69.3
1664.000;-90;-67.2
1689.600;-89;-71.6
1715.200;-90;-69.0
1740.800;-91;-66.9
1766.400;-94;-51.3
1792.000;-92;-53.3
1817.600;-92;-50.6
1843.200;-92;-48.2
1868.800;-91;-49.2
1894.400;-91;-47.6
1920.000;-91;-41.7
1945.600;-91;-41.0
1971.200;-90;-40.3
1996.800;-90;-41.4
2022.400;-91;-37.4
2048.000;-90;-35.9
2073.600;-89;-39.5
2099.200;-89;-42.4
2124.800;-89;-40.1
2150.400;-89;-42.9
2176.000;-87;-52.7
2201.600;-88;-54.1
2227.200;-89;-56.0
2252.800;-88;-64.2
2278.400;-89;-63.1
2304.000;-88;-72.1
2329.600;-90;-66.9
2355.200;-91;-64.5
2380.800;-91;-65.3
2406.400;-92;-58.4
2432.000;-94;-47.1
2457.600;-91;-54.7
2483.200;-91;-49.4
2508.800;-91;-47.4
2534.400;-91;-45.7
2560.000;-91;-45.1
2585.600;-91;-40.5
2611.200;-90;-41.6
2636.800;-91;-34.8
2662.400;-90;-40.3
2688.000;-90;-40.2
2713.600;-91;-35.6
2739.200;-89;-39.3
2764.800;-90;-37.7
2790.400;-90;-37.6
2816.000;-89;-39.9
2841.600;-89;-40.9
2867.200;-88;-49.0
2892.800;-90;-40.3
2918.400;-88;-53.2
2944.000;-87;-58.6
2969.600;-89;-58.5
2995.200;-88;-64.5
3020.800;-90;-60.1
3046.400;-91;-60.6
3072.000;-90;-60.2
3097.600;-90;-61.2
3123.200;-92;-55.7
